permit_id,jurisdiction,source_system,issue_date,address_raw,lat,lon,structure_type,net_units,iccsd_flag,school_district,elem_area,jh_area,hs_area,status
BLD-24-33100,Johnson Co. (uninc.),CitizenServe,2025-01-03,4021 Maier AVE SW,41.641230,-91.600006,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33157,Johnson Co. (uninc.),CitizenServe,2025-02-27,230 Howard AVE NW,41.849947,-91.697730,SF detached,1,N,College Community School District,,,,issued
BLD-24-32978,Johnson Co. (uninc.),CitizenServe,2025-03-10,4752 Rapid Creek RD NE,41.701337,-91.467966,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33174,Johnson Co. (uninc.),CitizenServe,2025-03-11,4218 Pleasant Valley DR SE,41.614316,-91.520353,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33183,Johnson Co. (uninc.),CitizenServe,2025-03-17,2236 Clay Studio CT NW,41.834314,-91.711996,SF detached,1,N,College Community School District,,,,issued
BLD-25-33206,Johnson Co. (uninc.),CitizenServe,2025-03-18,3004 Forest Ridge DR NE,41.838348,-91.636505,SF detached,1,N,College Community School District,,,,issued
BLD-25-33178,Johnson Co. (uninc.),CitizenServe,2025-03-21,4296 Nursery LN SE,41.607640,-91.512262,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33205,Johnson Co. (uninc.),CitizenServe,2025-03-24,1308 Upper Old Highway 6 RD NW,41.746578,-91.802551,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-25-33202,Johnson Co. (uninc.),CitizenServe,2025-03-25,3042 355th ST SW,41.675638,-91.635971,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-25-33188,Johnson Co. (uninc.),CitizenServe,2025-04-02,408 Marner DR,41.493715,-91.432136,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-25-33220,Johnson Co. (uninc.),CitizenServe,2025-04-09,3766 Cottage Reserve RD NE,41.794091,-91.564246,SF detached,1,N,Solon Community School District,,,,issued
BLD-25-33259,Johnson Co. (uninc.),CitizenServe,2025-04-11,4779 180th ST NE,41.801236,-91.465223,SF detached,1,N,Solon Community School District,,,,issued
BLD-25-33203,Johnson Co. (uninc.),CitizenServe,2025-04-14,3883 Locust Ridge Rd NE,41.735217,-91.552615,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33280,Johnson Co. (uninc.),CitizenServe,2025-04-23,6305 Sioux AVE SE,41.474379,-91.484028,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-25-33290,Johnson Co. (uninc.),CitizenServe,2025-04-25,1598 Cou Falls RD NW,41.819244,-91.674953,SF detached,1,N,College Community School District,,,,issued
BLD-25-33302,Johnson Co. (uninc.),CitizenServe,2025-04-25,170 Pleasant Hill DR NW,41.849663,-91.695558,SF detached,1,N,College Community School District,,,,issued
BLD-25-33315,Johnson Co. (uninc.),CitizenServe,2025-05-02,141 Maple ST SW,41.841045,-91.696828,SF detached,1,N,College Community School District,,,,issued
BLD-25-33306,Johnson Co. (uninc.),CitizenServe,2025-05-02,3802 Sierra TER SW,41.623670,-91.559849,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-25-33275,Johnson Co. (uninc.),CitizenServe,2025-05-06,2235 Hemann WAY NE,41.770113,-91.474086,SF detached,1,N,Solon Community School District,,,,issued
BLD-25-33313,Johnson Co. (uninc.),CitizenServe,2025-05-12,5559 580th ST SE,41.509462,-91.389302,SF detached,1,N,Lone Tree Community School District,,,,issued
