jurisdiction,period,period_type,structure_bucket,units,source,flag
Coralville,2010,annual,1-unit,40,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2010,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2010,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2010,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2011,annual,1-unit,71,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2011,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2011,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2011,annual,5+,122,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2012,annual,1-unit,77,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2012,annual,2-unit,10,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2012,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2012,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2013,annual,1-unit,66,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2013,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2013,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2013,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2014,annual,1-unit,89,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2014,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2014,annual,3-4,3,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2014,annual,5+,72,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2015,annual,1-unit,29,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2015,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2015,annual,3-4,7,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2015,annual,5+,102,"Census BPS Place file (mwYYYYa.txt), represented units",
Coralville,2016,annual,1-unit,18,"Census BPS Place file (mwYYYYa.txt), represented units",
