Line,Function,Salaries,Employee Benefits,Purchased Services,Supplies,Property,Miscellaneous Objects,Other Items,Total Expenditures and Other Financing Uses
1,Instruction,103303947.34,29284970.26,7519705.47,7910925.02,389821.26,79658.59,,148489027.94
2,Attendance and Social Work Services,1435694.40,442229.67,164746.59,10653.18,,,,2053323.84
3,Guidance Services,3129221.10,938318.41,45.22,754.57,,,,4068339.30
4,Health Services,1522962.12,419926.02,7937.25,65847.52,6268.33,,,2022941.24
5,Psychological Services,,,,,,,,
6,Speech Pathology & Audiology Services,,,,,,,,
7,Occupational Therapy Related Services,,,,,,,,
8,Physical Therapy Related Services,,,,,,,,
9,Visually Impaired/Vision Services,,,,,,,,
10,Other Student Support Services,2544.84,194.67,,29411.65,,,,32151.16
11,Improvement of Instruction Services,4514291.19,1215185.19,148170.83,183929.62,,,,6061576.83
12,Library Media Services,2387449.51,714897.08,,202354.07,23228.95,,,3327929.61
13,Instruction-Related Technology Services,,,,,,,,
14,Academic Student Assessment Services,,,,,,,,
15,Other Instructional Staff Support Services,94068.82,21499.86,193.90,65.60,,,,115828.18
16,Board of Education Services,,,219824.16,19683.25,,28277.00,,267784.41
17,Executive Administration Services,2006954.72,563464.06,89127.22,128698.08,,21686.35,,2809930.43
18,Special Area Administration Services,,,6982.00,,,,,6982.00
19,School Administration Services,8863464.60,2552976.01,84710.31,34083.45,,,,11535234.37
20,Business Administration Fiscal Services,1054606.75,1991183.82,24497134.88,12054.27,866.79,86667.58,,27642514.09
21,"Purchasing, Warehousing, and Distributing Services",66923.20,11308.62,,,,,,78231.82
22,"Printing, Publishing, and Duplicating Services",,,,,,,,
23,"Planning, Research, Development, and Evaluation Services",,,156677.83,,,,,156677.83
24,Public Information Services,,,,,,,,
25,Personnel Services,296599.00,82510.01,283380.16,25182.67,,,,687671.84
26,Administration Technology Services,1906356.11,492510.45,30977.55,24745.93,294120.70,,,2748710.74
27,Other Business Administration Services,,,,,,,,
28,Operation and Maintenance of Plant Services,9564434.59,2848185.34,6660099.22,4360548.92,965223.75,3505.00,,24401996.82
29,Student Transportation,53433.86,30907.91,5897909.82,1950.00,,,,5984201.59
30,Other Support Services,,,,,,,,
31,Food Service Operations,3490061.17,706900.48,16706.46,4665050.11,158067.45,,,9036785.67
32,Other Enterprise Operations,,,,,,,,
33,Community Service Operations,468308.50,224050.82,1199.96,248337.84,99476.80,,,1041373.92
34,Facilities Acquisition and Construction,178438.75,62843.87,45412560.62,,16479423.42,,,62133266.66
35,Debt Service,,,4700.00,,,28664493.76,,28669193.76
36,Interagency Flowthrough,,,,,,,5868388.00,5868388.00
37,Interfund Transfers Out,,,,,,,14162186.64,14162186.64
38,Special Items,,,,,,,,
39,Extraordinary Items,,,,,,,,
40,Loss on Disposition of Capital Assets,,,,,,,,
41,Downward Adjustments to Beginning Fund Balance,,,,,,483130.97,1151085.87,1634216.84
42,TOTAL EXPENDITURES AND OTHER FINANCING USES & Downward Prior Pd Adj,144339760.57,42604062.55,91202789.45,17924275.75,18416497.45,29367419.25,21181660.51,365036465.53
