Line,Description,Total
,TRANSPORTATION COSTS FROM CHART OF ACCOUNTS,
1,Total cost of fuel,
2,"Other Equipment, including fuel tank spill-monitoring devices/systems",
3,Two-way radio communications equipment,
4,Video monitoring system equipment,
5,Rental of equipment and vehicles,
6,"School bus driver, mechanic, supervisor, aide, washer salaries",53433.86
7,Benefits,30907.91
8,Transportation supplies and parts,
9,"Repairs, maintenance and inspection fees",
10,Vehicle insurance costs,
11,Drug/Alcohol Testing,
12,Transportation provided by non-district personnel,5523977.01
13,Other expenditures,1950.00
14,Total Operating Costs from Chart of Account,5610268.78
,TRANSPORTATION REVENUES FROM CHART OF ACCOUNTS,
15,Transportation assistance received (SBRC),
16,Clean School Bus Program CFDA 66.034,
17,Total Transportation Revenues from Chart of Account,
,Adjustments,
18,"Fuel tax refund, prior year",
