Line,Description,Total
1,Total Revenues and Other Financing Sources,211774151.34
2,Property Taxes,82197331.74
3,Income Surtaxes,6775731.49
4,Excise taxes(Utility Replacement),549152.70
5,State Foundation Aid and State Replacement,76992750.00
6,Instructional Support,
7,Special Education Deficit State Aid,105056.00
8,"Teacher Leadership Supplement, 4 yr old Preschool State Aid, Teacher Salary Supplement, Early Intervention and Professional Dev.",20028969.00
9,AEA Flowthrough,5868388.00
10,Subtotal (lines 2-9),192517378.93
11,Miscellaneous Income (Row 1 minus Row 10 plus FY25 ESPSS funding),19672327.41
12,Total Expenditures and Other Financing Uses,212847380.05
,Maximum Cash Reserve Levy FY 2027,
13,20% of Total Expenditures (Row 12),42569476.01
14,"Minus Unexpended Fund Balance (Fund10, Account id 7 and Accounts 740-759)",12271409.73
15,= Maximum Cash Reserve Levy Allowed (Row 13-Row14),30298066.28
