Iowa City Community School District - General Fund Balance Sheet (as of June 30)
Line item (US dollars),FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024
Assets,,,,,,,,,,
"Cash, cash equivalents and investments",25599301,33270812,36965401,35749416,29661358,24963852,21761592,21475952,19012680,22536992
Property tax receivable - current year,232369,200376,172824,248698,226346,419384,560338,234203,366102,429762
Property tax receivable - succeeding year,56420267,60238767,62483923,63927908,65789035,72666630,72389732,74768537,75474753,84046760
Income surtax receivable,6270674,6393586,6816288,6820672,7117360,7403410,6692192,7824520,7976285,6986431
Other receivables,786056,173561,147116,343272,702720,2155541,996184,223250,641083,385129
Due from other governments,2148465,1978107,1966701,1988224,2373369,2252396,10458625,7722440,14223011,5626319
Due from other funds,1329952,11132,750616,93140,27801,275994,150423,177298,156679,29093296
Prepaid items,1095801,1127628,1251954,1395556,1472184,1552575,1317074,1738981,1702154,67836
Total assets,93882885,103393969,110554823,110566886,107370173,111689782,114326160,114165181,119552747,149172525
Liabilities,,,,,,,,,,
Accounts payable,2013166,1895636,2636705,2776112,2061443,2416119,1763278,1933142,1431069,1735139
Salaries and benefits payable / accrued liabilities,13190317,13706046,14762330,15908169,17455439,16465994,17373534,19286079,19887707,17190017
Due to other funds,2552,661001,10572,8086,17064,29976,22924,71144,1000000,20073735
Due to fiduciary funds,,,,,0,3120,,,,
Unearned revenue,41627,68582,11900,14516,29788,1464393,194350,218705,1306772,
Total liabilities,15247662,16331265,17421507,18706883,19563734,20379602,19354086,21509070,23625548,38998891
Deferred inflows of resources,,,,,,,,,,
Unavailable revenue - property tax,56420267,60238767,62483923,63927908,65789035,72666630,72389732,74768537,75474753,84046760
Unavailable revenue - income surtax,6270674,6393586,6816288,6820672,7117360,7403410,6692192,7824520,7976285,6986431
Unavailable revenue - federal sources,,,,,,,,,2324940,
Unavailable revenue - other,,,,,,,,,,87390
Total deferred inflows of resources,62690941,66632353,69300211,70748580,72906395,80070040,79081924,82593057,85775978,91120581
Fund balances,,,,,,,,,,
Nonspendable,1095801,1127628,1251954,1395556,1472184,1552575,1316399,1738981,1702154,67836
Restricted,3303867,3963463,4030600,2478299,2157358,2811326,2920281,2967523,3488724,2703361
Unassigned,11544614,15339260,18550551,17237568,11270502,6876239,11653470,5356550,4960343,16281856
Total fund balances,15944282,20430351,23833105,21111423,14900044,11240140,15890150,10063054,10151221,19053053
"Total liabilities, deferred inflows and fund balances",93882885,103393969,110554823,110566886,107370173,111689782,114326160,114165181,119552747,149172525
