district,fiscal_year,audited_activity_balance,car_activity_balance,diff,source_page,confidence
Ankeny CSD,2020,1180460.00,1180459.61,0.39,35,high
Ankeny CSD,2021,1449887.00,1452174.66,-2287.66,35,high
Ankeny CSD,2022,1702642.00,1702641.11,0.89,33,high
Ankeny CSD,2023,2019267.00,2010669.33,8597.67,122,high
Ankeny CSD,2024,2046083.00,2121415.57,-75332.57,35,low
Burlington CSD,2020,313369.00,313369.16,-0.16,18,high
Burlington CSD,2021,312881.00,312880.99,0.01,18,high
Burlington CSD,2022,326833.00,326832.63,0.37,18,high
Burlington CSD,2023,358672.00,358672.31,-0.31,18,high
Burlington CSD,2024,300411.00,300410.51,0.49,18,high
Cedar Rapids CSD,2020,1623082.00,1623079.16,2.84,36,high
Cedar Rapids CSD,2021,1751619.00,1751615.62,3.38,37,high
Cedar Rapids CSD,2022,2192617.00,2192617.68,-0.68,32,high
Cedar Rapids CSD,2023,2057117.00,2057116.74,0.26,33,high
Cedar Rapids CSD,2024,2103448.00,2104113.70,-665.70,39,high
College CSD (Prairie),2020,788842.00,788841.75,0.25,20,high
College CSD (Prairie),2021,725604.00,725603.13,0.87,23,high
College CSD (Prairie),2022,751084.00,751083.90,0.10,23,high
College CSD (Prairie),2023,693125.00,693124.88,0.12,23,high
College CSD (Prairie),2024,689390.00,689389.84,0.16,23,high
Davenport CSD,2020,728886.00,728886.11,-0.11,47,high
Davenport CSD,2021,757825.00,758791.83,-966.83,47,high
Davenport CSD,2022,848426.00,848424.92,1.08,45,high
Davenport CSD,2023,915053.00,915052.08,0.92,47,high
Davenport CSD,2024,972580.00,972579.73,0.27,43,high
Des Moines Independent CSD,2020,1228566.00,1229394.47,-828.47,32,high
Des Moines Independent CSD,2021,975279.00,975336.35,-57.35,32,high
Des Moines Independent CSD,2022,1027775.00,1027780.68,-5.68,34,high
Des Moines Independent CSD,2023,715981.00,715979.53,1.47,34,high
Des Moines Independent CSD,2024,602406.00,602404.93,1.07,34,high
Dubuque CSD,2020,810964.00,810963.82,0.18,39,high
Dubuque CSD,2021,817330.00,817329.64,0.36,49,high
Dubuque CSD,2022,816518.00,816517.82,0.18,49,high
Dubuque CSD,2023,799672.00,799671.82,0.18,49,high
Dubuque CSD,2024,831984.00,831984.17,-0.17,47,high
Iowa City CSD,2020,259759.00,259759.01,-0.01,30,high
Iowa City CSD,2021,491713.00,491712.55,0.45,30,high
Iowa City CSD,2022,66912.00,66911.73,0.27,30,high
Iowa City CSD,2023,31551.00,31551.44,-0.44,29,high
Iowa City CSD,2024,,384374.40,,,no_audit
Johnston CSD,2020,608867.00,608866.80,0.20,29,high
Johnston CSD,2021,495297.00,495297.30,-0.30,29,high
Johnston CSD,2022,530460.00,530460.41,-0.41,31,high
Johnston CSD,2023,559605.00,559605.33,-0.33,31,high
Johnston CSD,2024,621284.00,621284.68,-0.68,23,high
Linn-Mar CSD,2020,739773.00,739772.83,0.17,35,high
Linn-Mar CSD,2021,727690.00,727690.46,-0.46,35,high
Linn-Mar CSD,2022,804718.00,804717.09,0.91,37,high
Linn-Mar CSD,2023,854020.00,854019.45,0.55,33,high
Linn-Mar CSD,2024,1004117.00,1004117.46,-0.46,33,high
Muscatine CSD,2020,277377.00,277377.32,-0.32,23,high
Muscatine CSD,2021,311375.00,311374.42,0.58,23,high
Muscatine CSD,2022,326158.00,326158.07,-0.07,33,high
Muscatine CSD,2023,284876.00,284876.02,-0.02,35,high
Muscatine CSD,2024,252640.00,252639.46,0.54,37,high
Pleasant Valley CSD,2020,742746.00,746548.72,-3802.72,46,low
Pleasant Valley CSD,2021,780395.00,781520.71,-1125.71,46,high
Pleasant Valley CSD,2022,794541.00,798799.19,-4258.19,46,low
Pleasant Valley CSD,2023,783680.00,783679.26,0.74,64,high
Pleasant Valley CSD,2024,792017.00,792106.62,-89.62,64,high
Waterloo CSD,2020,1221301.00,1221301.11,-0.11,34,high
Waterloo CSD,2021,1311985.00,1311983.77,1.23,34,high
Waterloo CSD,2022,1276288.00,1276288.27,-0.27,36,high
Waterloo CSD,2023,1311612.00,1311610.32,1.68,40,high
Waterloo CSD,2024,1407956.00,1414921.49,-6965.49,40,high
Waukee CSD,2020,868207.00,868205.95,1.05,28,high
Waukee CSD,2021,871913.00,871913.18,-0.18,28,high
Waukee CSD,2022,890143.00,890142.93,0.07,28,high
Waukee CSD,2023,1147845.00,1147845.58,-0.58,28,high
Waukee CSD,2024,1203689.00,1203688.82,0.18,28,high
West Des Moines CSD,2020,923969.00,923969.45,-0.45,28,high
West Des Moines CSD,2021,1052106.00,1052106.21,-0.21,28,high
West Des Moines CSD,2022,1161866.00,1161865.58,0.42,28,high
West Des Moines CSD,2023,925017.00,925017.16,-0.16,28,high
West Des Moines CSD,2024,959983.00,959983.18,-0.18,28,high
