school_district,district_code,certified_enrollment,avg_days_early_late
Des Moines Independent CSD,1737,30160,13
Cedar Rapids CSD,1053,15901,68
Waukee CSD,6822,14412,108
Iowa City CSD,3141,14370,-430
Davenport CSD,1611,13371,108
Ankeny CSD,261,12682,120
Waterloo CSD,6795,10524,81
Dubuque CSD,1863,9666,96
West Des Moines CSD,6957,8249,108
Linn-Mar CSD,3715,7449,105
Johnston CSD,3231,6673,34
Pleasant Valley CSD,5250,5413,114
College CSD,1337,5027,39
Muscatine CSD,4581,4239,122
Burlington CSD,882,3560,16
Urbandale CSD,6579,3340,44
Fort Dodge CSD,2313,3331,51
Western Dubuque County CSD,6961,3125,97
North Scott CSD,4784,2928,95
Storm Lake CSD,6219,2618,68
Lewis Central CSD,3645,2557,-255
Waverly-Shell Rock CSD,6840,2055,119
Boone CSD,729,2000,53
Keokuk CSD,3312,1746,66
Mount Pleasant CSD,4536,1705,67
Winterset CSD,7056,1631,79
Atlantic CSD,387,1375,-245
Chariton CSD,1107,1297,-133
Harlan CSD,2826,1292,78
Centerville CSD,1071,1206,-109
Humboldt CSD,3060,1166,-145
Sheldon CSD,5949,1114,106
Albia CSD,81,1074,-126
Shenandoah CSD,5976,1044,-121
Iowa Falls CSD,3150,975,-115
PCM CSD,5160,944,-175
West Central Valley CSD,6264,939,66
South Central Calhoun CSD,6091,927,-191
Osage CSD,4995,877,-238
Odebolt-Arthur CSD d/b/a Odebolt Arthur Battle Creek Ida Grove CSD,4860,873,-137
Anamosa CSD,234,1200,66
North Mahaska CSD,4776,440,41
Newton CSD,4725,2809,39
Bellevue CSD,585,611,26
Cedar Falls CSD,1044,5395,55
Dallas Center-Grimes CSD,1576,3405,48
Murray CSD,4572,213,37
Akron-Westfield CSD,63,515,-1
Estherville Lincoln Central CSD,2124,1151,40
Cardinal CSD,977,537,66
Spirit Lake CSD,6120,1126,24
Essex CSD,2113,178,45
Pella CSD,5166,2104,25
Clay Central/Everly CSD,1218,301,44
Vinton-Shellsburg CSD,6660,1601,-8
West Lyon CSD,6983,916,24
Pekin CSD,5163,515,57
Remsen-Union CSD,5486,316,31
Clinton CSD,1278,3615,28
Corning CSD,1431,388,2
Belmond-Klemme CSD,594,714,7
Cherokee CSD,1152,1027,16
Madrid CSD,3942,620,9
Spencer CSD,6102,1864,19
Benton CSD,609,1426,40
Sigourney CSD,6012,554,45
Clarke CSD,1211,1435,9
Sioux Center CSD,6030,1476,29
Decorah CSD,1638,1428,14
Sioux City CSD,6039,14181,36
Van Buren CSD,6592,945,41
Monticello CSD,4446,952,64
Hubbard-Radcliffe CSD,3033,388,39
Okoboji CSD,4890,977,2
Ballard CSD,472,1768,19
South Winneshiek CSD,6100,518,30
Forest City CSD,2295,1055,25
Howard-Winneshiek CSD,3029,1124,17
North Polk CSD,4779,2157,20
Adel-DeSoto-Minburn CSD,27,2192,35
Saydel CSD,5805,999,46
Starmont CSD,6175,528,15
Calamus-Wheatland CSD,918,375,18
Galva-Holstein CSD,2376,453,21
Central CSD (Elkader),1080,452,21
Ogden CSD,4878,521,15
Roland-Story CSD,5643,1002,21
Sioux Central CSD,6035,446,21
Perry CSD,5184,1796,4
Louisa-Muscatine CSD,3841,646,18
Eastern Allamakee CSD,1972,305,13
Clear Creek-Amana  CSD,1221,3204,24
Southeast Polk CSD,6101,7300,-39
Postville CSD,5310,705,14
Janesville CSD,3186,430,8
Morning Sun CSD,4509,194,14
North Kossuth CSD,4778,225,15
Bondurant-Farrar CSD,720,2636,12
Mediapolis CSD,4203,861,12
Williamsburg CSD,7029,1102,14
North Fayette Valley CSD,4774,1081,14
Springville CSD,6138,404,10
Schaller Crestland CSD,5823,363,10
North Cedar CSD,3691,676,5
Harris-Lake Park CSD,2846,284,9
Council Bluffs CSD,1476,8309,-31
GMG CSD,2682,230,1
Whiting CSD,7002,157,17
Wilton CSD,7038,774,8
Lisbon CSD,3744,671,8
Highland CSD,2977,564,7
West Marshall CSD,6985,707,-11
Jesup CSD,3204,827,8
Northeast CSD,4773,467,5
Glenwood CSD,2511,1906,76
Wayne CSD,6854,577,-2
Carlisle CSD,981,1884,-2
Albert City Truesdale CSD,72,192,4
North Union CSD,333,371,7
Paton-Churdan CSD,5139,181,1
Durant CSD,1926,444,-1
Central Springs CSD,4772,727,9
Bennett CSD,603,155,2
Iowa Valley CSD,3154,485,1
MFL Mar Mac CSD,4419,800,6
East Sac County CSD,6741,787,6
West Central CSD,6943,251,6
East Buchanan CSD,1963,485,5
West Branch CSD,6930,818,5
Interstate 35 CSD,3119,799,-1
North Linn CSD,4777,560,1
HLV CSD,2766,308,-1
Glidden-Ralston CSD,2520,302,1
Eagle Grove CSD,1944,914,-2
Alta-Aurelia CSD,171,887,-1
Manson Northwest Webster CSD,4023,641,-1
Sumner-Fredericksburg CSD,6273,737,2
Clayton Ridge CSD,2763,625,5
Moravia CSD,4491,301,0
Marshalltown CSD,4104,5297,9
Creston CSD,1503,1286,2
West Delaware County CSD,6950,1279,-1
Alden CSD,108,243,-4
