district_code,district_name,fiscal_year,fund,beginning_balance,revenues,expenditures,ending_balance,gf_unassigned,gf_assigned
9,AGWSR,2017,Activity,120322.0,181424.0,169031.0,132714.0,,
9,AGWSR,2017,Debt Service,499528.0,555766.0,557866.0,497428.0,,
9,AGWSR,2017,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2017,Enterprise,-52023.0,405696.0,395689.0,-42015.0,,
9,AGWSR,2017,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2017,General,884112.0,7531947.0,7151479.0,1264582.0,,
9,AGWSR,2017,Management,784399.0,17262.0,374346.0,427315.0,,
9,AGWSR,2017,Nutrition,94940.0,361491.0,359367.0,97063.0,,
9,AGWSR,2017,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2017,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2017,PPEL,758810.0,827803.0,825143.0,761469.0,,
9,AGWSR,2017,Sales Tax,200674.0,600955.0,497928.0,303701.0,,
9,AGWSR,2018,Activity,132714.0,184118.0,210245.0,106586.0,,
9,AGWSR,2018,Debt Service,497428.0,551599.0,553799.0,495228.0,,
9,AGWSR,2018,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2018,Enterprise,-42015.0,468897.0,407674.0,19209.0,,
9,AGWSR,2018,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2018,General,1264582.0,7368195.0,7396011.0,1236765.0,,
9,AGWSR,2018,Management,427315.0,314641.0,368695.0,373260.0,,
9,AGWSR,2018,Nutrition,97063.0,338788.0,326744.0,109108.0,,
9,AGWSR,2018,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2018,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2018,PPEL,761469.0,697104.0,736668.0,721903.0,,
9,AGWSR,2018,Sales Tax,303701.0,582795.0,495728.0,390769.0,,
9,AGWSR,2019,Activity,106586.1,124129.8,132701.56,98014.34,,
9,AGWSR,2019,Debt Service,495227.5,606722.48,547650.85,554299.13,,
9,AGWSR,2019,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2019,Enterprise,19208.77,493110.82,500404.66,11914.93,,
9,AGWSR,2019,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2019,General,1236765.43,7660031.17,7723827.83,1172968.77,,
9,AGWSR,2019,Management,373260.44,327925.55,221035.25,480150.74,,
9,AGWSR,2019,Nutrition,109108.08,373691.79,367301.14,115498.73,,
9,AGWSR,2019,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2019,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2019,PPEL,721903.28,686765.9,615196.57,793472.61,,
9,AGWSR,2019,Sales Tax,390768.78,645430.28,498477.5,537721.56,,
9,AGWSR,2020,Activity,98014.34,134517.86,120139.34,112392.86,,
9,AGWSR,2020,Debt Service,554299.13,495527.5,554299.13,495527.5,,
9,AGWSR,2020,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2020,Enterprise,11914.93,401057.17,441678.64,-28706.54,,
9,AGWSR,2020,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2020,General,1172968.77,8215338.91,7838502.86,1549804.82,,
9,AGWSR,2020,Management,480150.74,339628.58,273950.58,545828.74,,
9,AGWSR,2020,Nutrition,115498.73,339208.78,356849.48,97858.03,,
9,AGWSR,2020,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2020,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2020,PPEL,793472.61,809566.92,499638.74,1103400.79,,
9,AGWSR,2020,Sales Tax,537721.56,682206.52,496127.5,723800.58,,
9,AGWSR,2021,Activity,112392.86,161149.7,154924.02,118618.54,,
9,AGWSR,2021,Debt Service,495527.5,497827.5,495427.5,497927.5,,
9,AGWSR,2021,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2021,Enterprise,-28706.54,502820.42,510176.98,-36063.1,,
9,AGWSR,2021,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2021,General,1549804.82,8964839.79,8770625.92,1744018.69,,
9,AGWSR,2021,Management,545828.74,209457.77,289908.64,465377.87,,
9,AGWSR,2021,Nutrition,97858.03,482853.55,425429.38,155282.2,,
9,AGWSR,2021,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2021,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2021,PPEL,1103400.79,760996.87,990326.78,874070.88,,
9,AGWSR,2021,Sales Tax,723800.58,654821.67,498427.5,880194.75,,
9,AGWSR,2022,Activity,118618.54,201949.61,208933.11,111635.04,,
9,AGWSR,2022,Debt Service,497927.5,1166813.0,497827.5,1166913.0,,
9,AGWSR,2022,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2022,Enterprise,-36063.1,850164.97,531937.3,282164.57,,
9,AGWSR,2022,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2022,General,1744018.69,9949146.81,9940866.83,1752298.67,,
9,AGWSR,2022,Management,465377.87,342423.81,326157.72,481643.96,,
9,AGWSR,2022,Nutrition,155282.2,546002.65,507644.42,193640.43,,
9,AGWSR,2022,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2022,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2022,PPEL,874070.88,802269.52,502365.41,1173974.99,,
9,AGWSR,2022,Sales Tax,880194.75,9800016.97,2670924.81,8009286.91,,
9,AGWSR,2023,Activity,111635.04,164193.22,159188.66,116639.6,,
9,AGWSR,2023,Debt Service,1166913.0,1330142.66,1702340.0,794715.66,,
9,AGWSR,2023,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,Enterprise,282164.57,738017.55,605353.32,414828.8,,
9,AGWSR,2023,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,General,1752298.67,9329201.06,10027786.62,1053713.11,474752.48,15757
9,AGWSR,2023,Management,481643.96,256403.05,350901.55,387145.46,,
9,AGWSR,2023,Nutrition,193640.43,461881.48,504263.84,151258.07,,
9,AGWSR,2023,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,PPEL,1173974.99,669563.86,847067.27,996471.58,,
9,AGWSR,2023,Sales Tax,8009286.91,1041417.57,6485946.69,2564757.79,,
9,AGWSR,2024,General,1053713.11,9692578.8,10259078.21,487213.7,-155501.85,0
18,Adair-Casey,2017,Activity,43668.0,19847.0,39041.0,24473.0,,
18,Adair-Casey,2017,Debt Service,6.0,117623.0,117566.0,63.0,,
18,Adair-Casey,2017,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,General,1346855.0,4204508.0,4131913.0,1419451.0,,
18,Adair-Casey,2017,Management,181813.0,179734.0,130125.0,231423.0,,
18,Adair-Casey,2017,Nutrition,16979.0,179088.0,178276.0,17791.0,,
18,Adair-Casey,2017,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,PPEL,835466.0,417557.0,443059.0,809964.0,,
18,Adair-Casey,2017,Sales Tax,645803.0,297978.0,268647.0,675133.0,,
18,Adair-Casey,2018,Activity,24473.0,21093.0,16675.0,28891.0,,
18,Adair-Casey,2018,Debt Service,63.0,117358.0,117344.0,77.0,,
18,Adair-Casey,2018,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,General,1419451.0,3989358.0,4243114.0,1165694.0,,
18,Adair-Casey,2018,Management,231423.0,125276.0,98335.0,258365.0,,
18,Adair-Casey,2018,Nutrition,17791.0,174504.0,184653.0,7643.0,,
18,Adair-Casey,2018,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,PPEL,809964.0,469425.0,423586.0,855804.0,,
18,Adair-Casey,2018,Sales Tax,675133.0,282848.0,120168.0,837813.0,,
18,Adair-Casey,2019,Activity,28891.1,16645.17,13310.41,32225.86,,
18,Adair-Casey,2019,Debt Service,77.21,117100.41,117078.0,99.62,,
18,Adair-Casey,2019,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,General,1165694.37,4171561.62,4424118.83,913137.16,,
18,Adair-Casey,2019,Management,258364.78,110280.15,123395.5,245249.43,,
18,Adair-Casey,2019,Nutrition,7642.96,171992.06,181957.8,-2322.78,,
18,Adair-Casey,2019,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,PPEL,855804.3,498398.63,145322.73,1208880.2,,
18,Adair-Casey,2019,Sales Tax,837812.86,312816.67,119851.2,1030778.33,,
18,Adair-Casey,2020,Activity,32225.86,24963.48,11950.41,45238.93,,
18,Adair-Casey,2020,Debt Service,99.62,121771.92,118198.0,3673.54,,
18,Adair-Casey,2020,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,General,913137.16,4484235.18,4262457.2,1134915.14,,
18,Adair-Casey,2020,Management,245249.43,164074.86,144897.5,264426.79,,
18,Adair-Casey,2020,Nutrition,-2322.78,166882.84,157079.1,7480.96,,
18,Adair-Casey,2020,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,PPEL,1208880.2,543602.53,166717.34,1585765.39,,
18,Adair-Casey,2020,Sales Tax,1030778.33,325329.53,236849.0,1119258.86,,
18,Adair-Casey,2021,Activity,45238.93,7242.81,17276.71,35205.03,,
18,Adair-Casey,2021,Debt Service,3673.54,117428.8,115952.54,5149.8,,
18,Adair-Casey,2021,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,General,1134915.14,4886991.26,4522993.25,1498913.15,,
18,Adair-Casey,2021,Management,264426.79,55714.68,96809.5,223331.97,,
18,Adair-Casey,2021,Nutrition,7480.96,202825.65,168635.99,41670.62,,
18,Adair-Casey,2021,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,PPEL,1585765.39,576406.6,242181.45,1919990.54,,
18,Adair-Casey,2021,Sales Tax,1119258.86,416980.39,388541.33,1147697.92,,
18,Adair-Casey,2022,Activity,35205.03,20536.93,26265.7,29476.26,,
18,Adair-Casey,2022,Debt Service,5149.8,111866.65,116994.0,22.45,,
18,Adair-Casey,2022,Emergency_Disaster,0.0,0.0,0.0,0.0,,
