district,fiscal_year,salaries_benefits,source
Ankeny CSD,2023,120206835,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Ankeny CSD,2024,125600304,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Burlington CSD,2023,39564568,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Burlington CSD,2024,40338773,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Cedar Rapids CSD,2023,178806509,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Cedar Rapids CSD,2024,181963613,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
College CSD (Prairie),2023,58811733,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
College CSD (Prairie),2024,61572898,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Davenport CSD,2023,154090334,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Davenport CSD,2024,159943222,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Des Moines Independent CSD,2023,385212774,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Des Moines Independent CSD,2024,399541334,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Dubuque CSD,2023,119834490,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Dubuque CSD,2024,120412648,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Iowa City CSD,2023,178134095,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Iowa City CSD,2024,169413415,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Johnston CSD,2023,71320390,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Johnston CSD,2024,75148718,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Linn-Mar CSD,2023,83815853,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Linn-Mar CSD,2024,83533636,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Muscatine CSD,2023,47740083,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Muscatine CSD,2024,48819201,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Pleasant Valley CSD,2023,50558537,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Pleasant Valley CSD,2024,53004344,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Waterloo CSD,2023,122915826,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Waterloo CSD,2024,129093465,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Waukee CSD,2023,120642939,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
Waukee CSD,2024,130211194,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
West Des Moines CSD,2023,98229973,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
West Des Moines CSD,2024,103912128,Iowa DE Certified Annual Report (CAR) General Fund object detail: TotSal+TotBen
