district,fiscal_year,car_ending,audited_ending,ending_diff,ending_diff_pct,flag,car_beginning,prior_audited_ending,beginning_vs_prior_audited,car_net_change,audited_net_change
Ankeny CSD,2020,19620391.49,19620391.0,0,0.0,,17557467.64,,,2062924,
Ankeny CSD,2021,23532639.66,23381691.0,150949,0.65,,19620391.49,19620391.0,0,3912248,3761300
Ankeny CSD,2022,24875396.89,24874180.0,1217,0.0,,23532639.66,23381691.0,150949,1342757,1492489
Ankeny CSD,2023,25013081.57,25010019.0,3063,0.01,,24875396.89,24874180.0,1217,137685,135839
Ankeny CSD,2024,25602290.23,24877844.0,724446,2.91,Y,25013081.57,25010019.0,3063,589209,-132175
Burlington CSD,2020,13373845.67,13373846.0,0,-0.0,,13391067.58,,,-17222,
Burlington CSD,2021,14133883.93,14133884.0,0,-0.0,,13373845.67,13373846.0,0,760038,760038
Burlington CSD,2022,15243138.67,15291087.0,-47948,-0.31,,14133883.93,14133884.0,0,1109255,1157203
Burlington CSD,2023,14954294.71,14955075.0,-780,-0.01,,15243138.67,15291087.0,-47948,-288844,-336012
Burlington CSD,2024,9739086.24,9739831.0,-745,-0.01,,14954294.71,14955075.0,-780,-5215208,-5215244
Cedar Rapids CSD,2020,28580757.15,28580741.0,16,0.0,,32666259.32,,,-4085502,
Cedar Rapids CSD,2021,33565373.34,33565350.0,23,0.0,,28580757.15,28580741.0,16,4984616,4984609
Cedar Rapids CSD,2022,39573547.3,37865195.0,1708352,4.51,Y,33565373.34,33565350.0,23,6008174,4299845
Cedar Rapids CSD,2023,42865546.48,42865536.0,10,0.0,,39573547.3,37865195.0,1708352,3291999,5000341
Cedar Rapids CSD,2024,45599732.98,45599724.0,9,0.0,,42865546.48,42865536.0,10,2734186,2734188
College CSD (Prairie),2020,10926397.03,10926398.0,-1,-0.0,,10042447.05,,,883950,
College CSD (Prairie),2021,13929171.87,13929171.0,1,0.0,,10926397.03,10926398.0,-1,3002775,3002773
College CSD (Prairie),2022,13912980.02,13912980.0,0,0.0,,13929171.87,13929171.0,1,-16192,-16191
College CSD (Prairie),2023,12730459.74,12687100.0,43360,0.34,,13912980.02,13912980.0,0,-1182520,-1225880
College CSD (Prairie),2024,9206350.33,9206351.0,-1,-0.0,,12730459.74,12687100.0,43360,-3524109,-3480749
Davenport CSD,2020,25454379.37,25454380.0,-1,-0.0,,16947419.33,,,8506960,
Davenport CSD,2021,29088196.78,28499620.0,588577,2.07,Y,25454379.37,25454380.0,-1,3633817,3045240
Davenport CSD,2022,35862294.7,35293803.0,568492,1.61,Y,29088196.78,28499620.0,588577,6774098,6794183
Davenport CSD,2023,49889999.2,50668239.0,-778240,-1.54,Y,35862294.7,35293803.0,568492,14027704,15374436
Davenport CSD,2024,57840585.85,56660994.0,1179592,2.08,Y,49889999.2,50668239.0,-778240,7950587,5992755
Des Moines Independent CSD,2020,125060024.14,125060027.0,-3,-0.0,,96785637.61,,,28274387,
Des Moines Independent CSD,2021,184265143.83,184265129.0,15,0.0,,125060024.14,125060027.0,-3,59205120,59205102
Des Moines Independent CSD,2022,179845919.84,179845901.0,19,0.0,,184265143.83,184265129.0,15,-4419224,-4419228
Des Moines Independent CSD,2023,184326861.91,184326862.0,0,-0.0,,179845919.84,179845901.0,19,4480942,4480961
Des Moines Independent CSD,2024,181511301.71,175410005.0,6101297,3.48,Y,184326861.91,184326862.0,0,-2815560,-8916857
Dubuque CSD,2020,18125154.1,18125154.0,0,0.0,,18198540.62,,,-73387,
Dubuque CSD,2021,24931146.13,24931146.0,0,0.0,,18125154.1,18125154.0,0,6805992,6805992
Dubuque CSD,2022,30277494.9,30277495.0,0,-0.0,,24931146.13,24931146.0,0,5346349,5346349
Dubuque CSD,2023,27589008.77,27589009.0,0,-0.0,,30277494.9,30277495.0,0,-2688486,-2688486
Dubuque CSD,2024,23355130.48,23355130.0,0,0.0,,27589008.77,27589009.0,0,-4233878,-4233879
Iowa City CSD,2020,11236307.39,11240140.0,-3833,-0.03,,14886751.03,,,-3650444,
Iowa City CSD,2021,15726539.3,15890150.0,-163611,-1.03,,11236307.39,11240140.0,-3833,4490232,4650010
Iowa City CSD,2022,9956089.44,10063054.0,-106965,-1.06,,15726539.3,15890150.0,-163611,-5770450,-5827096
Iowa City CSD,2023,10994917.44,10151221.0,843696,8.31,Y,9956089.44,10063054.0,-106965,1038828,88167
Johnston CSD,2020,12146145.46,12146145.0,0,0.0,,14315393.87,,,-2169248,
Johnston CSD,2021,15971161.11,15971161.0,0,0.0,,12146145.46,12146145.0,0,3825016,3825016
Johnston CSD,2022,21380621.81,21380621.0,1,0.0,,15971161.11,15971161.0,0,5409461,5409460
Johnston CSD,2023,20773673.25,20773674.0,-1,-0.0,,21380621.81,21380621.0,1,-606949,-606947
Johnston CSD,2024,16492036.74,16567398.0,-75361,-0.45,,20773673.25,20773674.0,-1,-4281637,-4206276
Linn-Mar CSD,2020,11059392.92,11059342.0,51,0.0,,9860136.76,,,1199256,
Linn-Mar CSD,2021,13955155.78,13955156.0,0,-0.0,,11059392.92,11059342.0,51,2895763,2895814
Linn-Mar CSD,2022,12313088.23,12313088.0,0,0.0,,13955155.78,13955156.0,0,-1642068,-1642068
Linn-Mar CSD,2023,7069548.84,7069549.0,0,-0.0,,12313088.23,12313088.0,0,-5243539,-5243539
Linn-Mar CSD,2024,7108795.54,7091954.0,16842,0.24,,7069548.84,7069549.0,0,39247,22405
Muscatine CSD,2020,11135845.47,11135845.0,0,0.0,,12765315.2,,,-1629470,
Muscatine CSD,2021,10892432.44,10892432.0,0,0.0,,11135845.47,11135845.0,0,-243413,-243413
Muscatine CSD,2022,11939086.97,11939087.0,0,-0.0,,10892432.44,10892432.0,0,1046655,1046655
Muscatine CSD,2023,11406082.02,11406083.0,-1,-0.0,,11939086.97,11939087.0,0,-533005,-533004
Muscatine CSD,2024,11189523.34,11189523.0,0,0.0,,11406082.02,11406083.0,-1,-216559,-216560
Pleasant Valley CSD,2020,8224173.86,8224174.0,0,-0.0,,7054006.15,,,1170168,
Pleasant Valley CSD,2021,11337515.98,11337516.0,0,-0.0,,8224173.86,8224174.0,0,3113342,3113342
Pleasant Valley CSD,2022,11942859.71,11942859.0,1,0.0,,11337515.98,11337516.0,0,605344,605343
Pleasant Valley CSD,2023,12144859.75,12144860.0,0,-0.0,,11942859.71,11942859.0,1,202000,202001
Pleasant Valley CSD,2024,14965075.53,14965075.0,1,0.0,,12144859.75,12144860.0,0,2820216,2820215
Waterloo CSD,2020,18524155.11,18524155.0,0,0.0,,20163027.42,,,-1638872,
Waterloo CSD,2021,29206916.26,29206917.0,-1,-0.0,,18524155.11,18524155.0,0,10682761,10682762
Waterloo CSD,2022,35307510.51,35307511.0,0,-0.0,,29206916.26,29206917.0,-1,6100594,6100594
Waterloo CSD,2023,35547900.34,35547899.0,1,0.0,,35307510.51,35307511.0,0,240390,240388
Waterloo CSD,2024,13777019.87,13495379.0,281641,2.09,Y,35547900.34,35547899.0,1,-21770880,-22052520
Waukee CSD,2020,17223149.84,17223150.0,0,-0.0,,18245502.03,,,-1022352,
Waukee CSD,2021,18603049.46,18603050.0,-1,-0.0,,17223149.84,17223150.0,0,1379900,1379900
Waukee CSD,2022,17332014.18,17180128.0,151886,0.88,,18603049.46,18603050.0,-1,-1271035,-1422922
Waukee CSD,2023,19331625.73,19331625.0,1,0.0,,17332014.18,17180128.0,151886,1999612,2151497
Waukee CSD,2024,27671883.04,27671884.0,-1,-0.0,,19331625.73,19331625.0,1,8340257,8340259
West Des Moines CSD,2020,17864712.39,17864713.0,-1,-0.0,,15264179.48,,,2600533,
West Des Moines CSD,2021,21127008.29,21127008.0,0,0.0,,17864712.39,17864713.0,-1,3262296,3262295
West Des Moines CSD,2022,28473332.69,28473332.0,1,0.0,,21127008.29,21127008.0,0,7346324,7346324
West Des Moines CSD,2023,32457075.58,32457077.0,-1,-0.0,,28473332.69,28473332.0,1,3983743,3983745
West Des Moines CSD,2024,27185381.57,27185382.0,0,-0.0,,32457075.58,32457077.0,-1,-5271694,-5271695
