district,leaid,school_year,enrollment,category,fte,fte_per_1000,source
Iowa City,1914700,2024-25,15013,district_administrators,38,2.53,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,district_admin_support,47,3.13,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,school_administrators,81,5.4,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,school_admin_support,104,6.93,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,teachers,1086,72.34,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,instructional_aides,414,27.58,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,guidance_counselors,43,2.86,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,librarians,24,1.6,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,student_support_services,376,25.04,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,other_staff,259.99,17.32,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Iowa City,1914700,2024-25,15013,total_staff,2503,166.72,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,district_administrators,55,3.95,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,district_admin_support,48,3.45,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,school_administrators,47,3.38,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,school_admin_support,27,1.94,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,teachers,870,62.51,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,instructional_aides,396,28.45,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,guidance_counselors,38,2.73,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,librarians,13,0.93,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,student_support_services,125,8.98,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,other_staff,172.66,12.41,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Waukee,1930510,2024-25,13917,total_staff,1867,134.15,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,district_administrators,36,2.82,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,district_admin_support,35,2.75,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,school_administrators,56,4.39,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,school_admin_support,42,3.3,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,teachers,822,64.49,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,instructional_aides,301,23.62,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,guidance_counselors,35,2.75,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,librarians,11,0.86,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,student_support_services,50,3.92,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,other_staff,145.86,11.44,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
Ankeny,1903690,2024-25,12746,total_staff,1583,124.2,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,district_administrators,32,3.51,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,district_admin_support,34,3.73,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,school_administrators,37,4.06,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,school_admin_support,27,2.96,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,teachers,628,68.94,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,instructional_aides,239,26.23,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,guidance_counselors,21,2.31,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,librarians,12,1.32,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,student_support_services,57,6.26,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,other_staff,158.94,17.45,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
West Des Moines,1930930,2024-25,9110,total_staff,1281,140.61,"NCES Common Core of Data, LEA Universe (via Urban Institute Education Data API), SY2024-25"
