district,fiscal_year,aea_flowthrough
Ankeny CSD,2015,4272191
Ankeny CSD,2016,4520892
Ankeny CSD,2017,4833355
Ankeny CSD,2018,5089138
Ankeny CSD,2019,5341269
Ankeny CSD,2020,5700576
Ankeny CSD,2021,5996871
Ankeny CSD,2022,6111251
Ankeny CSD,2023,6485389
Ankeny CSD,2024,6798814
Ankeny CSD,2025,6927065
Burlington CSD,2015,2240551
Burlington CSD,2016,2242986
Burlington CSD,2017,2234247
Burlington CSD,2018,2236201
Burlington CSD,2019,2222875
Burlington CSD,2020,2215643
Burlington CSD,2021,2224371
Burlington CSD,2022,2215153
Burlington CSD,2023,2231657
Burlington CSD,2024,2247846
Burlington CSD,2025,2244859
Cedar Rapids CSD,2015,8087606
Cedar Rapids CSD,2016,8165657
Cedar Rapids CSD,2017,8383644
Cedar Rapids CSD,2018,8568500
Cedar Rapids CSD,2019,8601130
Cedar Rapids CSD,2020,8713706
Cedar Rapids CSD,2021,8857025
Cedar Rapids CSD,2022,8826004
Cedar Rapids CSD,2023,8897651
Cedar Rapids CSD,2024,9100767
Cedar Rapids CSD,2025,9384582
College CSD (Prairie),2015,2113979
College CSD (Prairie),2016,2188791
College CSD (Prairie),2017,2308503
College CSD (Prairie),2018,2413275
College CSD (Prairie),2019,2489690
College CSD (Prairie),2020,2529128
College CSD (Prairie),2021,2619264
College CSD (Prairie),2022,2623101
College CSD (Prairie),2023,2730150
College CSD (Prairie),2024,2820387
College CSD (Prairie),2025,2816274
Davenport CSD,2015,7617690
Davenport CSD,2016,7686027
Davenport CSD,2017,7980385
Davenport CSD,2018,8070334
Davenport CSD,2019,8111035
Davenport CSD,2020,8169067
Davenport CSD,2021,8192514
Davenport CSD,2022,8164519
Davenport CSD,2023,8210934
Davenport CSD,2024,8223844
Davenport CSD,2025,8207801
Des Moines Independent CSD,2015,15332051
Des Moines Independent CSD,2016,15477984
Des Moines Independent CSD,2017,15917450
Des Moines Independent CSD,2018,16254887
Des Moines Independent CSD,2019,16417983
Des Moines Independent CSD,2020,16611714
Des Moines Independent CSD,2021,16927010
Des Moines Independent CSD,2022,16908592
Des Moines Independent CSD,2023,16976503
Des Moines Independent CSD,2024,17335226
Des Moines Independent CSD,2025,17586214
Dubuque CSD,2015,5442994
Dubuque CSD,2016,5495562
Dubuque CSD,2017,5614677
Dubuque CSD,2018,5705515
Dubuque CSD,2019,5712524
Dubuque CSD,2020,5753890
Dubuque CSD,2021,5959598
Dubuque CSD,2022,5997504
Dubuque CSD,2023,6057986
Dubuque CSD,2024,6200582
Dubuque CSD,2025,6272997
Iowa City CSD,2015,6036984
Iowa City CSD,2016,6139182
Iowa City CSD,2017,6473081
Iowa City CSD,2018,6647291
Iowa City CSD,2019,6823297
Iowa City CSD,2020,7014848
Iowa City CSD,2021,7314203
Iowa City CSD,2022,7382443
Iowa City CSD,2023,7660460
Iowa City CSD,2024,7937307
Iowa City CSD,2025,8064107
Johnston CSD,2015,2790109
Johnston CSD,2016,2926128
Johnston CSD,2017,3050617
Johnston CSD,2018,3156209
Johnston CSD,2019,3289224
Johnston CSD,2020,3357131
Johnston CSD,2021,3479272
Johnston CSD,2022,3536480
Johnston CSD,2023,3628108
Johnston CSD,2024,3745038
Johnston CSD,2025,3745875
Linn-Mar CSD,2015,3149241
Linn-Mar CSD,2016,3280928
Linn-Mar CSD,2017,3371072
Linn-Mar CSD,2018,3465367
Linn-Mar CSD,2019,3564902
Linn-Mar CSD,2020,3695530
Linn-Mar CSD,2021,3857334
Linn-Mar CSD,2022,3902241
Linn-Mar CSD,2023,4012413
Linn-Mar CSD,2024,4191253
Linn-Mar CSD,2025,4227261
Muscatine CSD,2015,2461474
Muscatine CSD,2016,2481261
Muscatine CSD,2017,2484599
Muscatine CSD,2018,2485699
Muscatine CSD,2019,2476936
Muscatine CSD,2020,2488273
Muscatine CSD,2021,2498935
Muscatine CSD,2022,2500698
Muscatine CSD,2023,2506675
Muscatine CSD,2024,2558395
Muscatine CSD,2025,2543315
Pleasant Valley CSD,2015,1880732
Pleasant Valley CSD,2016,1962625
Pleasant Valley CSD,2017,2060475
Pleasant Valley CSD,2018,2192155
Pleasant Valley CSD,2019,2292770
Pleasant Valley CSD,2020,2395182
Pleasant Valley CSD,2021,2511571
Pleasant Valley CSD,2022,2622162
Pleasant Valley CSD,2023,2800715
Pleasant Valley CSD,2024,2952338
Pleasant Valley CSD,2025,3004884
Waterloo CSD,2015,5701634
Waterloo CSD,2016,5778399
Waterloo CSD,2017,5784249
Waterloo CSD,2018,5827937
Waterloo CSD,2019,5905502
Waterloo CSD,2020,6013516
Waterloo CSD,2021,6190211
Waterloo CSD,2022,6196304
Waterloo CSD,2023,6344107
Waterloo CSD,2024,6537963
Waterloo CSD,2025,6679380
Waukee CSD,2015,3624806
Waukee CSD,2016,3876948
Waukee CSD,2017,4272143
Waukee CSD,2018,4618927
Waukee CSD,2019,4935346
Waukee CSD,2020,5341102
Waukee CSD,2021,5735223
Waukee CSD,2022,6034838
Waukee CSD,2023,6536503
Waukee CSD,2024,7068691
Waukee CSD,2025,7516243
West Des Moines CSD,2015,4105838
West Des Moines CSD,2016,4187440
West Des Moines CSD,2017,4270604
West Des Moines CSD,2018,4288770
West Des Moines CSD,2019,4325295
West Des Moines CSD,2020,4417069
West Des Moines CSD,2021,4543333
West Des Moines CSD,2022,4578107
West Des Moines CSD,2023,4673792
West Des Moines CSD,2024,4774516
West Des Moines CSD,2025,4850547
