district,fiscal_year,cash_reserve_levy
Ankeny CSD,2020,9666489
Ankeny CSD,2021,11545534
Ankeny CSD,2022,12634634
Ankeny CSD,2023,11017643
Ankeny CSD,2024,11047397
Ankeny CSD,2025,9140666
Burlington CSD,2020,0
Burlington CSD,2021,0
Burlington CSD,2022,0
Burlington CSD,2023,0
Burlington CSD,2024,0
Burlington CSD,2025,0
Cedar Rapids CSD,2020,10806693
Cedar Rapids CSD,2021,14130250
Cedar Rapids CSD,2022,14010000
Cedar Rapids CSD,2023,14050474
Cedar Rapids CSD,2024,10053991
Cedar Rapids CSD,2025,8231439
College CSD (Prairie),2020,3468623
College CSD (Prairie),2021,2878860
College CSD (Prairie),2022,2127205
College CSD (Prairie),2023,0
College CSD (Prairie),2024,778611
College CSD (Prairie),2025,2072567
Davenport CSD,2020,7048420
Davenport CSD,2021,6021442
Davenport CSD,2022,6151183
Davenport CSD,2023,11523181
Davenport CSD,2024,6775876
Davenport CSD,2025,0
Des Moines Independent CSD,2020,29525000
Des Moines Independent CSD,2021,20500000
Des Moines Independent CSD,2022,0
Des Moines Independent CSD,2023,0
Des Moines Independent CSD,2024,0
Des Moines Independent CSD,2025,0
Dubuque CSD,2020,8050369
Dubuque CSD,2021,8287213
Dubuque CSD,2022,7085158
Dubuque CSD,2023,4613729
Dubuque CSD,2024,878172
Dubuque CSD,2025,3041993
Iowa City CSD,2020,12300000
Iowa City CSD,2021,15330000
Iowa City CSD,2022,14800000
Iowa City CSD,2023,17500000
Iowa City CSD,2024,17500000
Iowa City CSD,2025,24000000
Johnston CSD,2020,1574250
Johnston CSD,2021,3923616
Johnston CSD,2022,6473110
Johnston CSD,2023,3534875
Johnston CSD,2024,0
Johnston CSD,2025,3011624
Linn-Mar CSD,2020,5162468
Linn-Mar CSD,2021,6128170
Linn-Mar CSD,2022,6650000
Linn-Mar CSD,2023,5550312
Linn-Mar CSD,2024,8366323
Linn-Mar CSD,2025,9190345
Muscatine CSD,2020,0
Muscatine CSD,2021,0
Muscatine CSD,2022,430000
Muscatine CSD,2023,962771
Muscatine CSD,2024,720716
Muscatine CSD,2025,1000000
Pleasant Valley CSD,2020,1836003
Pleasant Valley CSD,2021,1989159
Pleasant Valley CSD,2022,2429614
Pleasant Valley CSD,2023,1113694
Pleasant Valley CSD,2024,2027845
Pleasant Valley CSD,2025,2308312
Waterloo CSD,2020,2668696
Waterloo CSD,2021,2193256
Waterloo CSD,2022,1536350
Waterloo CSD,2023,281396
Waterloo CSD,2024,0
Waterloo CSD,2025,2000000
Waukee CSD,2020,6334192
Waukee CSD,2021,5582095
Waukee CSD,2022,8656967
Waukee CSD,2023,13225645
Waukee CSD,2024,17675297
Waukee CSD,2025,18162975
West Des Moines CSD,2020,11241880
West Des Moines CSD,2021,11459911
West Des Moines CSD,2022,11990240
West Des Moines CSD,2023,11512979
West Des Moines CSD,2024,4115320
West Des Moines CSD,2025,777179
