district,fiscal_year,max_authorized_budget,unspent_authorized_budget,expenditures,uab_pct_of_max
Ankeny CSD,2015,124834859.0,26107419.0,98727440.0,20.91
Ankeny CSD,2016,133488908.0,28278277.0,105210631.0,21.18
Ankeny CSD,2017,142283572.0,29271717.0,113011855.0,20.57
Ankeny CSD,2018,149836178.0,28646250.0,121189928.0,19.12
Ankeny CSD,2019,159891912.0,28390679.0,131501233.0,17.76
Ankeny CSD,2020,164978204.0,29060490.0,135917714.0,17.61
Ankeny CSD,2021,172736726.0,29038722.0,143698004.0,16.81
Ankeny CSD,2022,176030961.0,27668299.0,148362662.0,15.72
Ankeny CSD,2023,181546737.0,24198039.0,157348698.0,13.33
Ankeny CSD,2024,185948816.0,21941093.0,164007723.0,11.8
Ankeny CSD,2025,196446643.0,27516933.0,168929710.0,14.01
Burlington CSD,2015,66344743.0,17944763.0,48399980.0,27.05
Burlington CSD,2016,68339245.0,18661134.0,49678111.0,27.31
Burlington CSD,2017,69484748.0,19234049.0,50250699.0,27.68
Burlington CSD,2018,69355868.0,20098649.0,49257219.0,28.98
Burlington CSD,2019,71379640.0,21504725.0,49874915.0,30.13
Burlington CSD,2020,72685838.0,23320736.0,49365102.0,32.08
Burlington CSD,2021,75804078.0,24560543.0,51243535.0,32.4
Burlington CSD,2022,79392964.0,25659924.0,53733040.0,32.32
Burlington CSD,2023,84588572.0,26063873.0,58524699.0,30.81
Burlington CSD,2024,81993321.0,23999223.0,57994098.0,29.27
Burlington CSD,2025,78526333.0,22391764.0,56134569.0,28.51
Cedar Rapids CSD,2015,196506821.0,5790286.0,190716535.0,2.95
Cedar Rapids CSD,2016,201528403.0,7102510.0,194425893.0,3.52
Cedar Rapids CSD,2017,209899513.0,11154184.0,198745329.0,5.31
Cedar Rapids CSD,2018,219999460.0,15007321.0,204992139.0,6.82
Cedar Rapids CSD,2019,229765333.0,17055709.0,212709624.0,7.42
Cedar Rapids CSD,2020,237030295.0,18033219.0,218997076.0,7.61
Cedar Rapids CSD,2021,248425323.0,25628938.0,222796385.0,10.32
Cedar Rapids CSD,2022,259644404.0,30603755.0,229040649.0,11.79
Cedar Rapids CSD,2023,263646615.0,30864604.0,232782011.0,11.71
Cedar Rapids CSD,2024,270359607.0,36384886.0,233974721.0,13.46
Cedar Rapids CSD,2025,276680039.0,35853583.0,240826456.0,12.96
College CSD (Prairie),2015,62741868.0,7555945.0,55185923.0,12.04
College CSD (Prairie),2016,64299790.0,6331672.0,57968118.0,9.85
College CSD (Prairie),2017,65697977.0,6683696.0,59014281.0,10.17
College CSD (Prairie),2018,67584751.0,7499135.0,60085616.0,11.1
College CSD (Prairie),2019,69628800.0,7903780.0,61725020.0,11.35
College CSD (Prairie),2020,71354863.0,8293547.0,63061316.0,11.62
College CSD (Prairie),2021,76247951.0,10439701.0,65808250.0,13.69
College CSD (Prairie),2022,81547921.0,11916617.0,69631304.0,14.61
College CSD (Prairie),2023,86291482.0,13997195.0,72294287.0,16.22
College CSD (Prairie),2024,89177311.0,13710477.0,75466834.0,15.37
College CSD (Prairie),2025,92821750.0,13126069.0,79695681.0,14.14
Davenport CSD,2015,188448099.0,8054737.0,180393362.0,4.27
Davenport CSD,2016,189752477.0,-2406622.0,192159099.0,-1.27
Davenport CSD,2017,190023148.0,-4056342.0,194079490.0,-2.13
Davenport CSD,2018,186873273.0,-11923713.0,198796986.0,-6.38
Davenport CSD,2019,182717121.0,-12044566.0,194761687.0,-6.59
Davenport CSD,2020,185018697.0,2004870.0,183013827.0,1.08
Davenport CSD,2021,200192842.0,8002122.0,192190720.0,4.0
Davenport CSD,2022,212456074.0,16413928.0,196042146.0,7.73
Davenport CSD,2023,234212250.0,27718050.0,206494200.0,11.83
Davenport CSD,2024,264996461.0,39563614.0,225432847.0,14.93
Davenport CSD,2025,251939407.0,46831943.0,205107464.0,18.59
Des Moines Independent CSD,2015,452906817.0,54000553.0,398906264.0,11.92
Des Moines Independent CSD,2016,455367515.0,43550637.0,411816878.0,9.56
Des Moines Independent CSD,2017,459362606.0,28709956.0,430652650.0,6.25
Des Moines Independent CSD,2018,456393899.0,13687231.0,442706668.0,3.0
Des Moines Independent CSD,2019,450535868.0,10391630.0,440144238.0,2.31
Des Moines Independent CSD,2020,457233501.0,23811427.0,433422074.0,5.21
Des Moines Independent CSD,2021,523878200.0,72182477.0,451695723.0,13.78
Des Moines Independent CSD,2022,552402708.0,82573057.0,469829651.0,14.95
Des Moines Independent CSD,2023,601107374.0,106568443.0,494538931.0,17.73
Des Moines Independent CSD,2024,614666624.0,129212807.0,485453817.0,21.02
Des Moines Independent CSD,2025,639185108.0,115920285.0,523264823.0,18.14
Dubuque CSD,2015,137246293.0,11129370.0,126116923.0,8.11
Dubuque CSD,2016,136796021.0,10627941.0,126168080.0,7.77
Dubuque CSD,2017,137939688.0,11855431.0,126084257.0,8.59
Dubuque CSD,2018,141570281.0,12116878.0,129453403.0,8.56
Dubuque CSD,2019,143141140.0,11613453.0,131527687.0,8.11
Dubuque CSD,2020,143158827.0,10464284.0,132694543.0,7.31
Dubuque CSD,2021,152363019.0,13969257.0,138393762.0,9.17
Dubuque CSD,2022,160520119.0,15951173.0,144568946.0,9.94
Dubuque CSD,2023,157657082.0,15038445.0,142618637.0,9.54
Dubuque CSD,2024,156646624.0,14988048.0,141658576.0,9.57
