district,fiscal_year,single_audit,fed_compliance_opinion,fed_mw,fed_finding,note
Ankeny CSD,2020,Y,Unmodified,0,N,
Ankeny CSD,2021,Y,Unmodified,0,N,
Ankeny CSD,2022,Y,Unmodified,0,N,
Ankeny CSD,2023,Y,Unmodified,0,N,
Ankeny CSD,2024,Y,Unmodified,0,N,
Ankeny CSD,2025,N,NA,0,N,no single audit required this year
Burlington CSD,2020,Y,Unmodified,0,N,narrative-format auditor's results
Burlington CSD,2021,Y,Unmodified,0,N,
Burlington CSD,2022,Y,Unmodified,0,N,
Burlington CSD,2023,Y,Unmodified,0,N,
Burlington CSD,2024,Y,Unmodified,0,N,
Burlington CSD,2025,Y,Unmodified,0,N,
Cedar Rapids CSD,2020,Y,Unmodified,0,N,
Cedar Rapids CSD,2021,Y,Unmodified,0,N,
Cedar Rapids CSD,2022,Y,Unmodified,0,N,
Cedar Rapids CSD,2023,Y,Unmodified,0,N,
Cedar Rapids CSD,2024,Y,Unmodified,0,Y,minor federal finding (2024-001) opinion stayed unmodified
Cedar Rapids CSD,2025,N,NA,0,N,single audit issued separately
College CSD,2020,Y,Unmodified,0,N,
College CSD,2021,Y,Unmodified,0,N,
College CSD,2022,Y,Unmodified,0,N,
College CSD,2023,Y,Unmodified,0,N,
College CSD,2024,Y,Unmodified,0,N,
College CSD,2025,Y,Unmodified,0,N,
Davenport CSD,2020,Y,Unmodified,1,Y,federal MW 2020-005 payroll charged to ESSER
Davenport CSD,2021,Y,Qualified,1,Y,qualified opinion on Education Stabilization Fund 84.425C/84.425D; federal MW 2021-005
Davenport CSD,2022,Y,Unmodified,0,Y,federal significant deficiencies (recovery)
Davenport CSD,2023,Y,Unmodified,0,Y,federal significant deficiencies/noncompliance (recovery)
Davenport CSD,2024,Y,Unmodified,0,Y,federal significant deficiency (recovery)
Davenport CSD,2025,Y,Unmodified,0,N,clean
Des Moines Independent CSD,2020,Y,Unmodified,0,N,
Des Moines Independent CSD,2021,Y,Unmodified,0,N,
Des Moines Independent CSD,2022,Y,Unmodified,0,N,
Des Moines Independent CSD,2023,Y,Unmodified,0,Y,federal significant deficiency; opinion stayed unmodified
Des Moines Independent CSD,2024,Y,Unmodified,0,N,
Des Moines Independent CSD,2025,Y,Unmodified,0,N,
Dubuque CSD,2020,Y,Unmodified,0,N,narrative-format auditor's results
Dubuque CSD,2021,Y,Unmodified,0,N,
Dubuque CSD,2022,Y,Unmodified,0,N,
Dubuque CSD,2023,Y,Unmodified,0,N,
Dubuque CSD,2024,Y,Unmodified,0,N,
Dubuque CSD,2025,Y,Unmodified,0,N,
Iowa City CSD,2020,Y,Unmodified,0,N,
Iowa City CSD,2021,Y,Unmodified,0,N,
Iowa City CSD,2022,Y,Unmodified,0,N,
Iowa City CSD,2023,Y,Unmodified,1,Y,federal MW 2023-004
Iowa City CSD,2024,Y,Qualified,3,Y,qualified opinion on Special Education Cluster 84.027 and Education Stabilization Fund 84.425B/C/U/W; 3 federal MWs (2024-009 through 2024-011)
Johnston CSD,2020,Y,Unmodified,0,N,
Johnston CSD,2021,Y,Unmodified,0,N,
Johnston CSD,2022,Y,Unmodified,0,N,
Johnston CSD,2023,Y,Unmodified,0,N,
Johnston CSD,2024,Y,Unmodified,0,N,
Johnston CSD,2025,Y,Unmodified,0,N,
Linn-Mar CSD,2020,Y,Unmodified,0,N,
Linn-Mar CSD,2021,Y,Unmodified,0,N,
Linn-Mar CSD,2022,Y,Unmodified,0,N,
Linn-Mar CSD,2023,Y,Unmodified,0,N,
Linn-Mar CSD,2024,Y,Unmodified,0,N,
Linn-Mar CSD,2025,Y,Unmodified,0,N,
Muscatine CSD,2020,Y,Unmodified,0,N,
Muscatine CSD,2021,Y,Unmodified,0,N,
Muscatine CSD,2022,Y,Unmodified,0,N,
Muscatine CSD,2023,Y,Unmodified,0,N,
Muscatine CSD,2024,Y,Unmodified,0,N,
Muscatine CSD,2025,Y,Unmodified,0,N,
Pleasant Valley CSD,2020,Y,Unmodified,0,N,
Pleasant Valley CSD,2021,Y,Unmodified,0,N,
Pleasant Valley CSD,2022,Y,Unmodified,0,N,
Pleasant Valley CSD,2023,Y,Unmodified,0,N,
Pleasant Valley CSD,2024,Y,Unmodified,0,N,
Pleasant Valley CSD,2025,N,NA,0,N,no single audit required this year
Waterloo CSD,2020,Y,Unmodified,0,N,
Waterloo CSD,2021,Y,Unmodified,0,N,
Waterloo CSD,2022,Y,Unmodified,0,N,
Waterloo CSD,2023,Y,Unmodified,0,N,
Waterloo CSD,2024,N,NA,0,N,single audit issued separately
Waterloo CSD,2025,N,NA,0,N,single audit issued separately
Waukee CSD,2020,Y,Unmodified,0,N,
Waukee CSD,2021,N,NA,0,N,no single audit required this year
Waukee CSD,2022,Y,Unmodified,0,Y,minor federal finding (2022-001 Child Nutrition); opinion stayed unmodified
Waukee CSD,2023,Y,Unmodified,0,N,
Waukee CSD,2024,Y,Unmodified,0,N,
Waukee CSD,2025,N,NA,0,N,no single audit required this year
West Des Moines CSD,2020,Y,Unmodified,0,N,
West Des Moines CSD,2021,N,NA,0,N,no single audit required this year
West Des Moines CSD,2022,Y,Unmodified,0,N,
West Des Moines CSD,2023,Y,Unmodified,0,N,
West Des Moines CSD,2024,Y,Unmodified,0,N,
West Des Moines CSD,2025,N,NA,0,N,no single audit required this year
