district,fiscal_year,gf_cash_investments,source
Ankeny CSD,2020,30573448,audit
Ankeny CSD,2021,34070504,audit
Ankeny CSD,2022,40866161,audit
Ankeny CSD,2023,43163961,audit
Ankeny CSD,2024,40600285,audit
Ankeny CSD,2025,48724731,audit
Cedar Rapids CSD,2020,49884191,audit
Cedar Rapids CSD,2021,47485316,audit
Cedar Rapids CSD,2022,48248071,audit
Cedar Rapids CSD,2023,58682402,audit
Cedar Rapids CSD,2024,63301068,audit
Cedar Rapids CSD,2025,61439686,audit
College CSD (Prairie),2021,9048374,audit
College CSD (Prairie),2022,10283037,audit
College CSD (Prairie),2023,8771710,audit
College CSD (Prairie),2024,5612382,audit
College CSD (Prairie),2025,1345781,audit
Davenport CSD,2020,52206206,audit
Davenport CSD,2021,49276837,audit
Davenport CSD,2022,54415534,audit
Davenport CSD,2023,65308906,audit
Davenport CSD,2024,71641316,audit
Davenport CSD,2025,79767611,audit
Des Moines Independent CSD,2020,152269706,audit
Des Moines Independent CSD,2021,158408598,audit
Des Moines Independent CSD,2022,192192106,audit
Des Moines Independent CSD,2023,196551332,audit
Des Moines Independent CSD,2024,198433582,audit
Des Moines Independent CSD,2025,162978516,audit
Dubuque CSD,2020,31601063,audit
Dubuque CSD,2021,31159075,audit
Dubuque CSD,2022,39348095,audit
Dubuque CSD,2023,37439396,audit
Dubuque CSD,2024,34945428,audit
Dubuque CSD,2025,36296037,audit
Iowa City CSD,2020,24963852,audit
Iowa City CSD,2021,21761592,audit
Iowa City CSD,2022,21475952,audit
Iowa City CSD,2023,19012680,audit
Iowa City CSD,2024,25913933,CAR
Johnston CSD,2020,18860889,audit
Johnston CSD,2021,21000178,audit
Johnston CSD,2022,28011701,audit
Johnston CSD,2023,28018395,audit
Johnston CSD,2024,23733156,audit
Johnston CSD,2025,18563575,audit
Linn-Mar CSD,2020,17985512,audit
Linn-Mar CSD,2021,21131544,audit
Linn-Mar CSD,2022,19351250,audit
Linn-Mar CSD,2023,16030820,audit
Linn-Mar CSD,2024,17799493,audit
Linn-Mar CSD,2025,22043782,audit
Pleasant Valley CSD,2020,15171032,audit
Pleasant Valley CSD,2021,17384913,audit
Pleasant Valley CSD,2022,17529533,audit
Pleasant Valley CSD,2023,18846407,audit
Pleasant Valley CSD,2024,21611422,audit
Pleasant Valley CSD,2025,23824306,audit
Waterloo CSD,2020,35392827,audit
Waterloo CSD,2021,41919667,audit
Waterloo CSD,2022,44030933,audit
Waterloo CSD,2023,50068756,audit
Waterloo CSD,2024,27937682,audit
Waterloo CSD,2025,11489670,audit
Waukee CSD,2020,29524037,audit
Waukee CSD,2021,30734535,audit
Waukee CSD,2022,33565722,audit
Waukee CSD,2023,36503057,audit
Waukee CSD,2024,44544823,audit
Waukee CSD,2025,53010236,audit
West Des Moines CSD,2020,28854056,audit
West Des Moines CSD,2021,26842379,audit
West Des Moines CSD,2022,32843552,audit
West Des Moines CSD,2023,35140963,audit
West Des Moines CSD,2024,36448092,audit
West Des Moines CSD,2025,31233813,audit
