year,K,1,2,3,4,5,6,7,8,9,10,11,12,total_k12,source_note
2016,1125,1166,1062,1118,1081,1049,976,1046,953,1000,988,952,1000,13516,Iowa DOE BEDS actual (SY 2016-17)
2017,1146,1112,1164,1051,1125,1065,1058,987,1050,1027,1026,1007,1032,13850,Iowa DOE BEDS actual (SY 2017-18)
2018,1157,1139,1081,1156,1036,1120,1063,1061,978,1076,1060,1029,1034,13990,Iowa DOE BEDS actual (SY 2018-19)
2019,1101,1174,1131,1107,1154,1047,1116,1108,1055,1021,1115,1059,1088,14276,Iowa DOE BEDS actual (SY 2019-20)
2020,1027,1016,1085,1086,1058,1129,1016,1098,1096,1095,1030,1119,1092,13947,Iowa DOE BEDS actual (SY 2020-21; COVID year)
2021,1096,1087,1074,1089,1109,1052,1121,1037,1099,1140,1125,1033,1179,14241,Iowa DOE BEDS actual (SY 2021-22; COVID recovery)
2022,1035,1097,1092,1070,1091,1093,1059,1136,1063,1157,1148,1133,1088,14262,Iowa DOE BEDS actual (SY 2022-23)
2023,998,1028,1089,1082,1052,1086,1092,1106,1143,1092,1164,1167,1165,14264,Iowa DOE BEDS actual (SY 2023-24; first ESA year)
2024,992,1038,1023,1105,1099,1063,1096,1108,1139,1227,1150,1164,1211,14415,Iowa DOE BEDS actual (SY 2024-25)
2025,987,988,1013,1029,1110,1094,1058,1087,1098,1181,1222,1146,1214,14227,Iowa DOE BEDS actual (SY 2025-26)
