district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
Ankeny CSD,2018,C6_rollforward,CAR begin = prior CAR end,18880609.0,18880609.0,0.0,0.0,
Ankeny CSD,2019,C6_rollforward,CAR begin = prior CAR end,20957868.98,20957869.0,-0.02,-0.0,
Ankeny CSD,2020,C1_ending,Ending GF fund balance,19620391.49,19620391.0,0.49,0.0,
Ankeny CSD,2020,C10_revenue,GF revenue,137980637.97,137102479.0,878158.97,0.64,
Ankeny CSD,2020,C11_expenditure,GF expenditure,135917714.12,135892411.0,25303.12,0.02,
Ankeny CSD,2020,C13_margin,Operating margin %,1.5,0.88,0.62,,
Ankeny CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,14.44,14.44,-0.0,,
Ankeny CSD,2020,C6_rollforward,CAR begin = prior CAR end,17557467.64,17557467.64,0.0,0.0,
Ankeny CSD,2021,C1_ending,Ending GF fund balance,23532639.66,23381691.0,150948.66,0.65,
Ankeny CSD,2021,C10_revenue,GF revenue,147610251.85,146552936.0,1057315.85,0.72,
Ankeny CSD,2021,C11_expenditure,GF expenditure,143698003.68,143576563.0,121440.68,0.08,
Ankeny CSD,2021,C13_margin,Operating margin %,2.65,2.03,0.62,,
Ankeny CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,16.38,16.29,0.09,,
Ankeny CSD,2021,C6_rollforward,CAR begin = prior CAR end,19620391.49,19620391.49,0.0,0.0,
Ankeny CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,19620391.49,19620391.0,0.49,0.0,
Ankeny CSD,2021,C8_net_change,Net change in fund balance,3912248.17,3761300.0,150948.17,4.01,
Ankeny CSD,2022,C1_ending,Ending GF fund balance,24875396.89,24874180.0,1216.89,0.0,
Ankeny CSD,2022,C10_revenue,GF revenue,149705419.46,148794966.0,910453.46,0.61,
Ankeny CSD,2022,C11_expenditure,GF expenditure,148362662.23,148182929.0,179733.23,0.12,
Ankeny CSD,2022,C13_margin,Operating margin %,0.9,0.41,0.49,,
Ankeny CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,16.77,16.79,-0.02,,
Ankeny CSD,2022,C6_rollforward,CAR begin = prior CAR end,23532639.66,23532639.66,0.0,0.0,
Ankeny CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,23532639.66,23381691.0,150948.66,0.65,
Ankeny CSD,2022,C8_net_change,Net change in fund balance,1342757.23,1492489.0,-149731.77,-10.03,
Ankeny CSD,2023,C1_ending,Ending GF fund balance,25013081.57,25010019.0,3062.57,0.01,
Ankeny CSD,2023,C2_available,Available (unassigned+assigned),13981262.59,13930443.0,50819.59,0.36,
Ankeny CSD,2023,C10_revenue,GF revenue,157486382.99,157168326.0,318056.99,0.2,
Ankeny CSD,2023,C11_expenditure,GF expenditure,157348698.31,157531067.0,-182368.69,-0.12,
Ankeny CSD,2023,C13_margin,Operating margin %,0.09,-0.23,0.32,,
Ankeny CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,15.9,15.88,0.02,,
Ankeny CSD,2023,C17_solvency,Solvency ratio %,8.88,9.23,-0.35,,
Ankeny CSD,2023,C14_cash,GF operating cash,43483920.6,43163961.0,319959.6,0.74,
Ankeny CSD,2023,C15_days_cash,Days cash on hand,100.87,100.01,0.86,,
Ankeny CSD,2023,C6_rollforward,CAR begin = prior CAR end,24875396.89,24875396.89,0.0,0.0,
Ankeny CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,24875396.89,24874180.0,1216.89,0.0,
Ankeny CSD,2023,C8_net_change,Net change in fund balance,137684.68,135839.0,1845.68,1.36,
Burlington CSD,2018,C6_rollforward,CAR begin = prior CAR end,11407357.0,11407357.0,0.0,0.0,
Burlington CSD,2019,C6_rollforward,CAR begin = prior CAR end,12795651.17,12795651.0,0.17,0.0,
Burlington CSD,2020,C1_ending,Ending GF fund balance,13373845.67,13373846.0,-0.33,-0.0,
Burlington CSD,2020,C10_revenue,GF revenue,49347879.89,49204606.0,143273.89,0.29,
Burlington CSD,2020,C11_expenditure,GF expenditure,49365101.8,49365102.0,-0.2,-0.0,
Burlington CSD,2020,C13_margin,Operating margin %,-0.03,-0.33,0.3,,
Burlington CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,27.09,27.09,-0.0,,
Burlington CSD,2020,C6_rollforward,CAR begin = prior CAR end,13391067.58,13391067.58,0.0,0.0,
Burlington CSD,2021,C1_ending,Ending GF fund balance,14133883.93,14133884.0,-0.07,-0.0,
Burlington CSD,2021,C10_revenue,GF revenue,52003573.48,51880845.0,122728.48,0.24,
Burlington CSD,2021,C11_expenditure,GF expenditure,51243535.22,51073126.0,170409.22,0.33,
Burlington CSD,2021,C13_margin,Operating margin %,1.46,1.56,-0.1,,
Burlington CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,27.58,27.67,-0.09,,
Burlington CSD,2021,C6_rollforward,CAR begin = prior CAR end,13373845.67,13373845.67,0.0,0.0,
Burlington CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,13373845.67,13373846.0,-0.33,-0.0,
Burlington CSD,2021,C8_net_change,Net change in fund balance,760038.26,760038.0,0.26,0.0,
Burlington CSD,2022,C1_ending,Ending GF fund balance,15243138.67,15291087.0,-47948.33,-0.31,
Burlington CSD,2022,C10_revenue,GF revenue,54842294.57,54609316.0,232978.57,0.43,
Burlington CSD,2022,C11_expenditure,GF expenditure,53733039.83,53080927.0,652112.83,1.23,Y
Burlington CSD,2022,C13_margin,Operating margin %,2.02,2.8,-0.78,,
Burlington CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,28.37,28.81,-0.44,,
Burlington CSD,2022,C6_rollforward,CAR begin = prior CAR end,14133883.93,14133883.93,0.0,0.0,
Burlington CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,14133883.93,14133884.0,-0.07,-0.0,
Burlington CSD,2022,C8_net_change,Net change in fund balance,1109254.74,1157203.0,-47948.26,-4.14,
Burlington CSD,2023,C1_ending,Ending GF fund balance,14954294.71,14955075.0,-780.29,-0.01,
Burlington CSD,2023,C2_available,Available (unassigned+assigned),13745391.42,13746172.0,-780.58,-0.01,
Burlington CSD,2023,C10_revenue,GF revenue,58235855.42,58031345.0,204510.42,0.35,
Burlington CSD,2023,C11_expenditure,GF expenditure,58524699.38,53765906.0,4758793.38,8.85,Y
Burlington CSD,2023,C13_margin,Operating margin %,-0.5,7.35,-7.85,,Y
Burlington CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,25.55,27.82,-2.26,,
Burlington CSD,2023,C17_solvency,Solvency ratio %,23.6,24.52,-0.92,,
Burlington CSD,2023,C6_rollforward,CAR begin = prior CAR end,15243138.67,15243138.67,0.0,0.0,
Burlington CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,15243138.67,15291087.0,-47948.33,-0.31,
Burlington CSD,2023,C8_net_change,Net change in fund balance,-288843.96,-336012.0,47168.04,-14.04,
Cedar Rapids CSD,2018,C6_rollforward,CAR begin = prior CAR end,31362323.0,31362323.0,0.0,0.0,
Cedar Rapids CSD,2019,C6_rollforward,CAR begin = prior CAR end,33761649.45,33761649.0,0.45,0.0,
Cedar Rapids CSD,2020,C1_ending,Ending GF fund balance,28580757.15,28580741.0,16.15,0.0,
Cedar Rapids CSD,2020,C10_revenue,GF revenue,214911574.09,212205298.0,2706276.09,1.28,Y
Cedar Rapids CSD,2020,C11_expenditure,GF expenditure,218997076.26,218169217.0,827859.26,0.38,
Cedar Rapids CSD,2020,C13_margin,Operating margin %,-1.9,-2.81,0.91,,
Cedar Rapids CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,13.05,13.1,-0.05,,
Cedar Rapids CSD,2020,C6_rollforward,CAR begin = prior CAR end,32666259.32,32666259.32,0.0,0.0,
Cedar Rapids CSD,2021,C1_ending,Ending GF fund balance,33565373.34,33565350.0,23.34,0.0,
Cedar Rapids CSD,2021,C10_revenue,GF revenue,227781001.2,224042625.0,3738376.2,1.67,Y
Cedar Rapids CSD,2021,C11_expenditure,GF expenditure,222796385.01,221810281.0,986104.01,0.44,
Cedar Rapids CSD,2021,C13_margin,Operating margin %,2.19,1.0,1.19,,
Cedar Rapids CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,15.07,15.13,-0.07,,
Cedar Rapids CSD,2021,C6_rollforward,CAR begin = prior CAR end,28580757.15,28580757.15,0.0,0.0,
Cedar Rapids CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,28580757.15,28580741.0,16.15,0.0,
Cedar Rapids CSD,2021,C8_net_change,Net change in fund balance,4984616.19,4984609.0,7.19,0.0,
Cedar Rapids CSD,2022,C1_ending,Ending GF fund balance,39573547.3,37865195.0,1708352.3,4.51,Y
Cedar Rapids CSD,2022,C10_revenue,GF revenue,235048822.68,232730672.0,2318150.68,1.0,
Cedar Rapids CSD,2022,C11_expenditure,GF expenditure,229040648.72,228523828.0,516820.72,0.23,
Cedar Rapids CSD,2022,C13_margin,Operating margin %,2.56,1.81,0.75,,
Cedar Rapids CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,17.28,16.57,0.71,,
Cedar Rapids CSD,2022,C6_rollforward,CAR begin = prior CAR end,33565373.34,33565373.34,0.0,0.0,
Cedar Rapids CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,33565373.34,33565350.0,23.34,0.0,
Cedar Rapids CSD,2022,C8_net_change,Net change in fund balance,6008173.96,4299845.0,1708328.96,39.73,Y
Cedar Rapids CSD,2023,C1_ending,Ending GF fund balance,42865546.48,42865536.0,10.48,0.0,
Cedar Rapids CSD,2023,C2_available,Available (unassigned+assigned),38324962.75,38324951.0,11.75,0.0,
Cedar Rapids CSD,2023,C10_revenue,GF revenue,236074010.47,235412324.0,661686.47,0.28,
Cedar Rapids CSD,2023,C11_expenditure,GF expenditure,232782011.29,229342377.0,3439634.29,1.5,Y
Cedar Rapids CSD,2023,C13_margin,Operating margin %,1.39,2.58,-1.19,,
Cedar Rapids CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,18.41,18.69,-0.28,,
Cedar Rapids CSD,2023,C17_solvency,Solvency ratio %,16.23,16.85,-0.62,,
Cedar Rapids CSD,2023,C14_cash,GF operating cash,58682401.51,58682402.0,-0.49,-0.0,
Cedar Rapids CSD,2023,C15_days_cash,Days cash on hand,92.01,93.39,-1.38,,
Cedar Rapids CSD,2023,C6_rollforward,CAR begin = prior CAR end,39573547.3,39573547.3,0.0,0.0,
Cedar Rapids CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,39573547.3,37865195.0,1708352.3,4.51,Y
Cedar Rapids CSD,2023,C8_net_change,Net change in fund balance,3291999.18,5000341.0,-1708341.82,-34.16,Y
College CSD (Prairie),2018,C6_rollforward,CAR begin = prior CAR end,2203002.0,2203002.0,0.0,0.0,
College CSD (Prairie),2019,C6_rollforward,CAR begin = prior CAR end,6048268.96,6048269.0,-0.04,-0.0,
College CSD (Prairie),2020,C1_ending,Ending GF fund balance,10926397.03,10926398.0,-0.97,-0.0,
College CSD (Prairie),2020,C10_revenue,GF revenue,63945265.75,63987865.0,-42599.25,-0.07,
College CSD (Prairie),2020,C11_expenditure,GF expenditure,63061315.77,63091052.0,-29736.23,-0.05,
College CSD (Prairie),2020,C13_margin,Operating margin %,1.38,1.4,-0.02,,
College CSD (Prairie),2020,C18_fb_pct_exp,Fund balance % of expenditure,17.33,17.32,0.01,,
College CSD (Prairie),2020,C6_rollforward,CAR begin = prior CAR end,10042447.05,10042447.05,0.0,0.0,
College CSD (Prairie),2021,C1_ending,Ending GF fund balance,13929171.87,13929171.0,0.87,0.0,
College CSD (Prairie),2021,C10_revenue,GF revenue,68811024.99,68676282.0,134742.99,0.2,
College CSD (Prairie),2021,C11_expenditure,GF expenditure,65808250.15,65566658.0,241592.15,0.37,
College CSD (Prairie),2021,C13_margin,Operating margin %,4.36,4.53,-0.17,,
College CSD (Prairie),2021,C18_fb_pct_exp,Fund balance % of expenditure,21.17,21.24,-0.08,,
College CSD (Prairie),2021,C6_rollforward,CAR begin = prior CAR end,10926397.03,10926397.03,0.0,0.0,
College CSD (Prairie),2021,C7_begin_vs_audit,CAR begin vs prior audited end,10926397.03,10926398.0,-0.97,-0.0,
College CSD (Prairie),2021,C8_net_change,Net change in fund balance,3002774.84,3002773.0,1.84,0.0,
College CSD (Prairie),2022,C1_ending,Ending GF fund balance,13912980.02,13912980.0,0.02,0.0,
College CSD (Prairie),2022,C10_revenue,GF revenue,69615112.17,69615113.0,-0.83,-0.0,
College CSD (Prairie),2022,C11_expenditure,GF expenditure,69631304.02,69615997.0,15307.02,0.02,
College CSD (Prairie),2022,C13_margin,Operating margin %,-0.02,-0.0,-0.02,,
College CSD (Prairie),2022,C18_fb_pct_exp,Fund balance % of expenditure,19.98,19.99,-0.0,,
College CSD (Prairie),2022,C6_rollforward,CAR begin = prior CAR end,13929171.87,13929171.87,0.0,0.0,
College CSD (Prairie),2022,C7_begin_vs_audit,CAR begin vs prior audited end,13929171.87,13929171.0,0.87,0.0,
College CSD (Prairie),2022,C8_net_change,Net change in fund balance,-16191.85,-16191.0,-0.85,0.01,
College CSD (Prairie),2023,C1_ending,Ending GF fund balance,12730459.74,12687100.0,43359.74,0.34,
College CSD (Prairie),2023,C2_available,Available (unassigned+assigned),12386289.82,12342930.0,43359.82,0.35,
College CSD (Prairie),2023,C10_revenue,GF revenue,71111767.07,71111767.0,0.07,0.0,
College CSD (Prairie),2023,C11_expenditure,GF expenditure,72294287.35,72308222.0,-13934.65,-0.02,
