district,fiscal_year,auditor,report_date,opinion_type,certified_enrollment,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,aea_flowthrough,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,cash_and_investments,go_debt_outstanding,save_rev_bonds,lease_sbita,capital_additions,depreciation,construction_in_progress,save_revenue,unrestricted_net_position,ipers_npl,opeb_liability,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,confidence,notes,debt_per_pupil,gf_rev_per_pupil
Ankeny CSD,2020,Bohnsack & Frommelt LLP,2020-10-29,unmodified,12255.80,137102479,135892411,19620391,12052028,,5447182,9.15,0.88,107879785,79.39,92276855,71090000,71525000,,23700324,8405713,26462560,12398165,-37030466,59047002,6160873,2,N,N,Y,no single audit findings,Y,High,No assigned fund balance line in GF - only committed (3576800) and unassigned; solvency denominator = gf_revenue - aea_flowthrough. Capital additions = sum of govt capital asset Increases (21549437 not-depreciated + 2150887 depreciated). OPEB = governmental activities net OPEB liability.,11637,11187
Ankeny CSD,2021,Bohnsack & Frommelt LLP,2022-01-19,unmodified,12147.36,146552936,143576563,23381691,17570627,,5743477,12.48,2.03,115313719,80.32,82716956,61400000,64230000,,49793668,8965773,20321306,12227256,-39318088,71402552,6569717,1,N,N,Y,no single audit findings,Y,High,No assigned fund balance line - only committed (1508700) and unassigned. Report date Jan 19 2022 (delayed beyond typical Oct-Nov window). Capital additions include large CIP completions (19128835 not-depreciated + 30664833 depreciated). OPEB = governmental activities net OPEB liability.,10342,12065
Ankeny CSD,2022,Bohnsack & Frommelt LLP,2022-11-15,unmodified,12512.30,148794966,148182929,24874180,16701092,,5857857,11.68,0.41,118078126,79.68,115613200,53465000,85655000,,18871389,9213869,36500862,14642895,-27876816,1274757,5325932,3,N,N,Y,no single audit findings,Y,High,No assigned fund balance - only committed (4354700) and unassigned. NPL dropped from 71.4M to 1.3M due to exceptional IPERS investment returns at 6/30/2021 measurement date. No GASB 87 lease obligations per note. GASB 96 (SBITA) not yet adopted. 3 findings: IV-A-22 budget exceeded; IV-H-22 enrollment variances; IV-I-22 supp weighting variances.,11119,11892
Ankeny CSD,2023,Bohnsack & Frommelt LLP,2023-11-13,unmodified,12671.33,157168326,157531067,25010019,13508869,421574,6185425,9.23,-0.23,120234578,76.32,95401273,41065000,77255000,401892,71659474,10987903,37453827,17067702,-17770711,40943358,5654219,2,N,N,Y,no single audit findings,Y,High,First year with Assigned fund balance (421574). GASB 96 SBITA adopted - IT subscription obligation 401892. Capital additions (71659474) include SBITA right-to-use assets and large building completions. 2 findings: IV-G-23 board minutes not timely published; IV-H-23 enrollment variances. OPEB = governmental activities net OPEB liability.,9338,12403
Ankeny CSD,2024,Bohnsack & Frommelt LLP,2024-12-05,unmodified,12753.83,164304090,164885632,24877844,17012685,421574,6464711,11.05,-0.35,125600305,76.17,81820157,28900000,68460000,588503,46227151,13130726,39789647,16692817,-14506599,46270679,5493170,4,N,N,Y,no single audit findings,Y,High,No GASB 87 lease obligations. SBITA obligation 588503. Depreciation 13130726 includes amortization of right-to-use IT subscription. Capital additions include land purchase (2296108). 4 findings: IV-G-24 board minutes; IV-H-24 enrollment; IV-I-24 supp weighting; IV-N-24 competitive quotes not obtained (~72K warehouse roof project).,7634,12883
Ankeny CSD,2025,Bohnsack & Frommelt LLP,2025-11-24,unmodified,12753.83,173604694,167605001,31111172,22144084,421574,5001999,13.38,3.46,128984701,76.96,95549219,15930000,59365000,426584,17138721,12794400,39555993,16715120,-20182327,36904937,5324211,6,N,Y,Y,no federal single audit findings section in available extracted text; format changed from prior years,Y,High,First year with significant deficiency (2025-001: enterprise fund revenue not reconciled - meal POS and child care). Certified enrollment 12753.83 from statistical section; MD&A notes 12679.52 adjusted count. 6 findings: 2025-001 sig deficiency; II-A-25 budget exceeded; II-D-25 business transactions with employees ~120K; II-G-25 board minutes; II-H-25 enrollment; II-I-25 supp weighting. OPEB = governmental activities net OPEB.,5904,13612
Burlington CSD,2020,Nolte Cornman & Johnson P.C.,2021-03-15,unmodified,3913,49204606,49365102,13373846,11752831,214614,1984635,25.34,-0.33,,,35777836,0,20240000,0,1299921,2577842,104777,4291152,-9225836,20734885,2479579,0,N,N,N,none - low-risk auditee,N,High,GF revenue/expenditure from Exhibit E (SOFRECFB). Enrollment 3913 = October 2020 count per MD&A (used for FY2021 funding; FY2020 actual October 2019 count not stated; 3913 reported as current at report date). Salaries+benefits not broken out by object in GF. Revenue bonds are SAVE bonds not GO. Part IV statutory findings: IV-H enrollment overstated 0.14; IV-I supplementary weighting understated 0.114; IV-N board policies not reviewed — these are Part IV statutory items not counted in findings_count (Parts II+III only). Cash = governmental activities SNP.,5173,12575
Burlington CSD,2021,Nolte Cornman & Johnson P.C.,2022-03-24,unmodified,3913,51880845,51073126,14133884,12410155,203863,1993363,25.28,1.56,,,38896016,0,18270000,0,1231286,2568267,365699,4080613,-9000698,24063630,2491167,0,N,N,N,none - low-risk auditee,N,High,MD&A boilerplate repeats 3913 enrollment from FY2020; no new enrollment number stated for FY2021. Fund balance beginning restated by $38394 for GASB 87 lease implementation in FY2022 (so FY2021 ending = beginning FY2022 as restated = $14172278). Revenue bond balance per SNP = $18270000 (non-current). No Part IV exceptions noted (no enrollment error no supplementary weighting error). Salaries+benefits not broken out by object. Capital additions = govtl increases.,4669,13259
Burlington CSD,2022,Nolte Cornman & Johnson P.C.,2023-04-03,unmodified,,54609316,53080927,15291087,13655354,230351,1984145,26.39,2.80,,,32368614,0,7620000,201103,3522540,2735196,1802617,5394479,-2938757,473737,2645879,0,N,N,N,none - low-risk auditee,N,Medium,Enrollment: October 2021 increased by 3.7 from ~3913 = ~3917 but exact number not stated; left blank. GASB 87 implemented; beginning fund balance restated +$34119. Revenue bond balance $7620000 (total: $330000 current + $7290000 non-current). Depreciation includes amortization of right-to-use lease asset. IPERS NPL dramatically reduced ($484394 total) due to IPERS strong investment returns (June 30 2021 measurement date). Part IV: IV-I supplementary weighting overstated 0.105. Capital additions = CIP increases + depreciable increases.,,
Burlington CSD,2023,Nolte Cornman & Johnson P.C.,2024-03-12,unmodified,,58031345,53765906,14955075,13507672,238500,1984098,24.52,7.35,,,73408036,0,43655000,526611,9266698,2845652,9695784,4703661,-1129164,13273381,1937718,1,N,Y,N,none - not low-risk auditee,N,High,Enrollment: October 2022 decreased by 56.6 from ~3917 = ~3860 but exact number not stated; left blank. Revenue bonds $43655000 (large increase from new bonds issued in FY2023 for high school renovations). Lease liability $526611 ($176888 current + $349723 non-current). Finding 2023-001 in Part II: Internal Control Deficiency - negative lunch account balances in School Nutrition Fund (enterprise fund). Classified as significant deficiency (Part I omits the usual no-sig-def statement). Part IV: IV-H enrollment overstated 2.00; IV-I supp weighting overstated 0.142; IV-N student activity fund inactive accounts and scholarship handling. CIP surged from $1.8M to $9.7M (high school air quality and renovation project underway).,,
Burlington CSD,2024,Nolte Cornman & Johnson P.C.,2025-03-13,unmodified,,52605503,54871021,9739831,8571515,249146,1944876,17.41,-4.31,,,57278196,0,42080000,349723,23488606,2797237,31961052,5085280,-3703337,14437974,1920677,0,N,N,N,none - not low-risk auditee,N,High,Enrollment not explicitly stated for FY2024 (MD&A cites October 2024 = subsequent year); left blank. Revenue bonds $42080000. Lease liability $349723. No Parts II/III findings. Part IV: IV-H enrollment understated 0.50; IV-N student activity fund inactive accounts (repeat of 2023-N). Federal Covid funds depleted this year causing revenue drop. CIP $31.96M (high school project ongoing). Solvency dropped sharply as GF unassigned fell by $5M.,,
Burlington CSD,2025,Nolte Cornman & Johnson P.C.,2026-02-26,unmodified,,51101614,56049281,4834714,3921837,231114,1649345,8.40,-9.68,,,42917040,0,40335000,531297,13736839,2840265,41004370,5021731,-4114338,11214282,0,0,N,N,N,none - low-risk auditee,N,High,Enrollment not stated for FY2025 (MD&A cites October 2025 = subsequent year); left blank. OPEB liability fully eliminated per ICHRA implementation (retirees removed from District plan). Revenue bonds $40335000. Lease liability $531297 ($121204 current + $410093 non-current). AEA flowthrough decreased to $1649345 (Iowa AEA restructuring effective July 1 2024). GF fund balance down 50% from FY2024; solvency at lowest point in series. Capital additions $13.7M (high school project $41M CIP at year-end).,,
Cedar Rapids CSD,2020,RSM US LLP,2021-01-18,unmodified,16851,212205298,218169217,28580741,25003962,0,7867389,12.24,-2.81,176411513,80.86,128940927,2200000,106780461,,2924061,5956814,979354,17582925,-75709227,103506660,24545788,4,N,N,Y,No single-audit findings (internal-control and compliance sections II and III both no matters reported). IV-G enrolled variances; IV-I deposits and investments (2 sub-findings); IV-M Daycare deficit (all statutory),Y,High,"Statutory IV findings: IV-G enrollment variances; IV-I deposits excess + investment rate sub-compliance (counted as 2); IV-M daycare deficit due to IPERS NPL. Daycare deficit finding repeats from prior year (2019). GF Assigned = 0 (the $2.05M shown in statistics is in SAVE fund). Capital additions = govtl only (14215 CIP + 2909846 depreciated) but note: net change in CIP was retirements/transfers; additions to depreciable assets = 2,909,846 + CIP additions 14,215 = 2,924,061. GF total fund balance includes nonspendable 976904 + restricted 2461725 + committed 138150 + assigned 0 + unassigned 25003962 = 28580741.",6467,12593
Cedar Rapids CSD,2021,RSM US LLP,2022-01-14,unmodified,16237,224042625,221810281,33565350,30805268,0,8010708,14.26,1.00,178458675,80.46,129670361,0,108951461,,23457553,5952184,21456283,16827764,-58317993,123487975,21933817,2,N,N,Y,No federal single-audit findings (sections II and III no matters). IV-H enrollment variances (statutory); IV-N Daycare deficit (statutory - repeat from FY2020),Y,High,Enrollment variances finding (IV-H) and Daycare deficit finding (IV-N) are statutory Iowa findings counted. Daycare deficit repeat from FY2020. Capital additions govtl: CIP 20926476 + depreciable 2531077 = 23457553. SAVE revenue = statewide sales services and use tax receipt only (16827764 from statutory schedule). Large IPERS NPL increase ($19.9M addition) due to actuarial changes. GObonds fully retired in FY2021.,6710,13798
