district,fiscal_year,total_assets,total_deferred_outflows,total_liabilities,total_deferred_inflows,net_invest_capital_assets,restricted_net_position,unrestricted_net_position,total_net_position,construction_commitments,authorized_unissued_debt,debt_service_next_fy,total_future_debt_service,notes
Ankeny CSD,2020,465468420,22550871,236534617,82563646,177838850,28112644,-37030466,168921028,1980524,,,,construction_commitments=unpaid balance per Note 11 ($18376821 total contracts; $16396297 incurred; $1980524 remaining as of June 30 2020). authorized_unissued_debt/debt_service_next_fy/total_future_debt_service reported for latest year only.
Ankeny CSD,2021,477020460,22210246,234325880,79849742,189839764,34533408,-39318088,185055084,405353,,,,construction_commitments=unpaid balance per Note 11 ($803092 total contracts; $397739 incurred; $405353 remaining as of June 30 2021). authorized_unissued_debt/debt_service_next_fy/total_future_debt_service reported for latest year only.
Ankeny CSD,2022,520763935,16570351,180929493,138678775,197436790,48166044,-27876816,217726018,470582,,,,construction_commitments=unpaid balance per Note 11 ($571347 total contracts; $100765 incurred; $470582 remaining as of June 30 2022). authorized_unissued_debt/debt_service_next_fy/total_future_debt_service reported for latest year only.
Ankeny CSD,2023,529341359,14813845,204935674,92392823,220016638,44580780,-17770711,246826707,8277039,,,,construction_commitments=unpaid balance per Note 11 ($43079927 total contracts; $34802888 incurred; $8277039 remaining as of June 30 2023). authorized_unissued_debt/debt_service_next_fy/total_future_debt_service reported for latest year only.
Ankeny CSD,2024,532325791,20139312,179165051,94064967,253623925,40117759,-14506599,279235085,8277039,,,,construction_commitments=unpaid balance per Note 11 ($43079927 total contracts; $34802888 incurred; $8277039 remaining as of June 30 2024 - same total-contract figure as FY2023; contract still active). authorized_unissued_debt: no voter-approved unissued GO bonds disclosed. debt_service_next_fy/total_future_debt_service reported for latest year only.
Ankeny CSD,2025,547366565,14491151,165463061,97842742,273204742,45529498,-20182327,298551913,3180582,130000000,15203948,90420620,construction_commitments=unpaid balance per Note 11 ($40798114 total contracts; $37617532 incurred; $3180582 remaining as of June 30 2025). authorized_unissued_debt=$130000000 GO bond approved by voters November 4 2025 per Note 15 subsequent event. debt_service_next_fy=FY2026: GO $3256612 + Revenue $11627574 + SBITA $319762 = $15203948. total_future_debt_service=GO $17896862 + Revenue $72077283 + SBITA $446475 = $90420620 (all three schedules as of June 30 2025 included).
Burlington CSD,2020,125134691,5556060,51040414,19099715,52670493,17105965,-9225836,60550622,,,,,Construction commitment note states costs of $104777 had been incurred against contracts for office remodel and swimming pool; total contract amount not stated so remaining balance unknown; no authorized unissued GO debt found; debt maturity schedule not extracted for non-latest years
Burlington CSD,2021,128838453,5943487,53957527,17292352,53120755,19412004,-9000698,63532061,,,,,Construction commitment note states costs of $365699 had been incurred against contracts for classroom remodel GPS systems cameras and counselors rooms; total contract amount not stated so remaining balance unknown; no authorized unissued GO debt found; debt maturity schedule not extracted for non-latest years
Burlington CSD,2022,123511761,4256890,19808410,33518346,64140043,13240609,-2938757,74441895,,,,,Construction commitment note states costs of $1802617 had been incurred against contracts for high school air quality project and high school additions and renovations; total contract amount not stated so remaining balance unknown; no authorized unissued GO debt found; debt maturity schedule not extracted for non-latest years
Burlington CSD,2023,171189591,4050302,70942770,18667752,67146564,19611971,-1129164,85629371,34142778,,,,Construction contracts totaling $43838562; costs incurred $9695784; remaining = $34142778; no authorized unissued GO debt found; debt maturity schedule not extracted for non-latest years
