canonical_name,n_source_rows,aliases,needs_review
A-H-S-T CSD,1,A-H-S-T CSD,
Adair-Casey CSD,1,Adair-Casey CSD,
Adel-DeSoto-Minburn CSD,1,Adel-DeSoto-Minburn CSD,
AGWSR CSD,1,AGWSR CSD,
AHSTW CSD,1,AHSTW CSD,
Akron-Westfield CSD,2,Akron-Westfield CSD; Akron-Westfiled CSD,
Albert City Truesdale CSD,2,Albert City Truesdale CSD; Albert City-Truesdale CSD,
Albia CSD,1,Albia CSD,
Alburnett CSD,1,Alburnett CSD,
Alden CSD,1,Alden CSD,
Algona CSD,1,Algona CSD,
Allamakee CSD,1,Allamakee CSD,
Alta CSD,1,Alta CSD,
Alta-Aurelia CSD,1,Alta-Aurelia CSD,
Ames CSD,1,Ames CSD,
Anamosa CSD,1,Anamosa CSD,
Andrew CSD,1,Andrew CSD,
Ankeny CSD,1,Ankeny CSD,
Aplington/Parkersburg CSD,1,Aplington/Parkersburg CSD,
AR-WE-VA CSD,1,AR-WE-VA CSD,
Atlantic CSD,1,Atlantic CSD,
Audubon CSD,1,Audubon CSD,
Ballard CSD,1,Ballard CSD,
Baxter CSD,1,Baxter CSD,
BCLUW CSD,1,BCLUW CSD,
Bedford CSD,1,Bedford CSD,
Belle Plaine CSD,1,Belle Plaine CSD,
Bellevue CSD,1,Bellevue CSD,
Belmond-Klemme CSD,1,Belmond-Klemme CSD,
Bennett CSD,1,Bennett CSD,
Benton CSD,1,Benton CSD,
Bettendorf CSD,1,Bettendorf CSD,
Bondurant-Farrar CSD,1,Bondurant-Farrar CSD,
Boone CSD,1,Boone CSD,
Boyden-Hull CSD,1,Boyden-Hull CSD,
Boyer Valley CSD,1,Boyer Valley CSD,
Brooklyn-Guernsey-Malcom CSD,1,Brooklyn-Guernsey-Malcom CSD,
Burlington CSD,1,Burlington CSD,
CAL CSD,1,CAL CSD,
Calamus-Wheatland CSD,1,Calamus-Wheatland CSD,
CAM CSD,1,CAM CSD,
Camanche CSD,1,Camanche CSD,
Cardinal CSD,1,Cardinal CSD,
Carlisle CSD,1,Carlisle CSD,
Carroll CSD,1,Carroll CSD,
Cedar Falls CSD,1,Cedar Falls CSD,
Cedar Rapids CSD,1,Cedar Rapids CSD,
Center Point-Urbana CSD,1,Center Point-Urbana CSD,
Centerville CSD,1,Centerville CSD,
Central City CSD,1,Central City CSD,
Central CSD,2,Central CSD; Central CSD (Elkader),
Central Decatur CSD,1,Central Decatur CSD,
Central DeWitt CSD,1,Central DeWitt CSD,
Central Lee CSD,1,Central Lee CSD,
Central Lyon CSD,1,Central Lyon CSD,
Central Springs CSD,1,Central Springs CSD,
Chariton CSD,1,Chariton CSD,
Charles City CSD,1,Charles City CSD,
Charter Oak-Ute CSD,1,Charter Oak-Ute CSD,
Cherokee CSD,1,Cherokee CSD,
Clarinda CSD,1,Clarinda CSD,
Clarion-Goldfield-Dows CSD,1,Clarion-Goldfield-Dows CSD,
Clarke CSD,1,Clarke CSD,
Clarksville CSD,1,Clarksville CSD,
Clay Central/Everly CSD,1,Clay Central/Everly CSD,
Clayton Ridge CSD,1,Clayton Ridge CSD,
Clear Creek-Amana  CSD,1,Clear Creek-Amana  CSD,
Clear Lake CSD,1,Clear Lake CSD,
Clinton CSD,1,Clinton CSD,
Colfax-Mingo CSD,1,Colfax-Mingo CSD,
College CSD,1,College CSD,
Collins-Maxwell CSD,1,Collins-Maxwell CSD,
Colo-Nesco CSD,1,Colo-Nesco CSD,
Columbus CSD,1,Columbus CSD,
Coon Rapids-Bayard CSD,1,Coon Rapids-Bayard CSD,
Corning CSD,1,Corning CSD,
Council Bluffs CSD,1,Council Bluffs CSD,
Creston CSD,1,Creston CSD,
Dallas Center-Grimes CSD,1,Dallas Center-Grimes CSD,
Danville CSD,1,Danville CSD,
Davenport CSD,1,Davenport CSD,
Davis County CSD,1,Davis County CSD,
Decorah CSD,1,Decorah CSD,
Delwood CSD,1,Delwood CSD,
Denison CSD,1,Denison CSD,
Denver CSD,2,Denver CSD; Denver Community School District,
Des Moines Independent CSD,2,Des Moines Independent CSD; Des Moines Independent Community School District,
Diagonal CSD,1,Diagonal CSD,
Dike-New Hartford CSD,1,Dike-New Hartford CSD,
Dubuque CSD,1,Dubuque CSD,
Dunkerton CSD,1,Dunkerton CSD,
Durant CSD,1,Durant CSD,
Eagle Grove CSD,1,Eagle Grove CSD,
Earlham CSD,1,Earlham CSD,
East Buchanan CSD,1,East Buchanan CSD,
East Marshall CSD,1,East Marshall CSD,
East Mills CSD,1,East Mills CSD,
East Sac County CSD,1,East Sac County CSD,
East Union CSD,2,East Union CSD; East Union Community School District,
Eastern Allamakee CSD,1,Eastern Allamakee CSD,
Easton Valley CSD,1,Easton Valley CSD,
Eddyville-Blakesburg-Fremont CSD,1,Eddyville-Blakesburg-Fremont CSD,
Edgewood-Colesburg CSD,1,Edgewood-Colesburg CSD,
Eldora-New Providence CSD,1,Eldora-New Providence CSD,
Emmetsburg CSD,2,Emmetsburg CSD; Emmetsburg Community School District,
English Valleys CSD,1,English Valleys CSD,
Essex CSD,1,Essex CSD,
Estherville Lincoln Central CSD,2,Estherville - Lincoln Central CSD; Estherville Lincoln Central CSD,
Exira-Elk Horn-Kimballton CSD,1,Exira-Elk Horn-Kimballton CSD,
Fairfield CSD,1,Fairfield CSD,
Forest City CSD,1,Forest City CSD,
Fort Dodge CSD,1,Fort Dodge CSD,
Fort Madison CSD,1,Fort Madison CSD,
Fremont-Mills CSD,1,Fremont-Mills CSD,
Galva-Holstein CSD,1,Galva-Holstein CSD,Later merged into Ridge View CSD
Garner-Hayfield CSD,1,Garner-Hayfield CSD,Merged with Ventura (2014) -> Garner-Hayfield-Ventura CSD
Garner-Hayfield-Ventura CSD,1,Garner-Hayfield-Ventura CSD,Formed 2014 from Garner-Hayfield + Ventura
George-Little Rock CSD,2,George -Little Rock CSD; George-Little Rock CSD,
Gilbert CSD,1,Gilbert CSD,
Gilmore City-Bradgate CSD,1,Gilmore City-Bradgate CSD,
Gladbrook-Reinbeck CSD,1,Gladbrook-Reinbeck CSD,
Glenwood CSD,1,Glenwood CSD,
Glidden-Ralston CSD,1,Glidden-Ralston CSD,
GMG CSD,1,GMG CSD,
Graettinger-Terril CSD,1,Graettinger-Terril CSD,
Greene County CSD,1,Greene County CSD,
Grinnell-Newburg CSD,1,Grinnell-Newburg CSD,
Griswold CSD,1,Griswold CSD,
Grundy Center CSD,1,Grundy Center CSD,
Guthrie Center CSD,1,Guthrie Center CSD,
Hamburg CSD,1,Hamburg CSD,
Hampton-Dumont CSD,1,Hampton-Dumont CSD,
Harlan CSD,1,Harlan CSD,
Harris-Lake Park CSD,1,Harris-Lake Park CSD,
Hartley-Melvin-Sanborn CSD,1,Hartley-Melvin-Sanborn CSD,
Highland CSD,1,Highland CSD,
Hinton CSD,1,Hinton CSD,
HLV CSD,1,HLV CSD,
Howard-Winneshiek CSD,1,Howard-Winneshiek CSD,
Hubbard-Radcliffe CSD,1,Hubbard-Radcliffe CSD,
Hudson CSD,1,Hudson CSD,
Humboldt CSD,1,Humboldt CSD,
IKM-Manning CSD,1,IKM-Manning CSD,
Independence CSD,1,Independence CSD,
Indianola CSD,1,Indianola CSD,
Interstate 35 CSD,1,Interstate 35 CSD,
Iowa City CSD,1,Iowa City CSD,
Iowa Falls CSD,1,Iowa Falls CSD,
Iowa Valley CSD,1,Iowa Valley CSD,
Janesville CSD,1,Janesville CSD,
Jesup CSD,1,Jesup CSD,
Johnston CSD,1,Johnston CSD,
Keokuk CSD,1,Keokuk CSD,
Keota CSD,1,Keota CSD,
Kingsley-Pierson CSD,1,Kingsley-Pierson CSD,
Knoxville CSD,1,Knoxville CSD,
Lake Mills CSD,1,Lake Mills CSD,
Lamoni CSD,1,Lamoni CSD,
Laurens-Marathon CSD,1,Laurens-Marathon CSD,
Lawton-Bronson CSD,1,Lawton-Bronson CSD,
Le Mars CSD,1,Le Mars CSD,
Lenox CSD,1,Lenox CSD,
Lewis Central CSD,1,Lewis Central CSD,
Linn-Mar CSD,1,Linn-Mar CSD,
Lisbon CSD,1,Lisbon CSD,
Logan-Magnolia CSD,1,Logan-Magnolia CSD,
Lone Tree CSD,1,Lone Tree CSD,
Louisa-Muscatine CSD,1,Louisa-Muscatine CSD,
LuVerne CSD,1,LuVerne CSD,
Lynnville-Sully CSD,1,Lynnville-Sully CSD,
Madrid CSD,1,Madrid CSD,
Manson Northwest Webster CSD,1,Manson Northwest Webster CSD,
Maple Valley-Anthon Oto CSD,1,Maple Valley-Anthon Oto CSD,
Maquoketa CSD,1,Maquoketa CSD,
Maquoketa Valley CSD,1,Maquoketa Valley CSD,
Marcus-Meriden-Cleghorn CSD,1,Marcus-Meriden-Cleghorn CSD,
Marion CSD,1,Marion CSD,
Marshalltown CSD,1,Marshalltown CSD,
Martensdale-St. Marys CSD,2,Martensdale-St. Mary's CSD; Martensdale-St. Marys CSD,
Mason City CSD,1,Mason City CSD,
Mediapolis CSD,1,Mediapolis CSD,
Melcher-Dallas CSD,1,Melcher-Dallas CSD,
MFL Mar Mac CSD,2,MFL Mar Mac CSD; MFL Mar Mac Community School,
Mid-Prairie CSD,1,Mid-Prairie CSD,
Midland CSD,1,Midland CSD,
Missouri Valley CSD,1,Missouri Valley CSD,
MOC-Floyd CSD,2,MOC-Floyd CSD; MOC-Floyd Valley CSD,
Montezuma CSD,1,Montezuma CSD,
Monticello CSD,1,Monticello CSD,
Moravia CSD,2,Moravia; Moravia CSD,
Mormon Trail CSD,1,Mormon Trail CSD,
Morning Sun CSD,1,Morning Sun CSD,
Moulton-Udell CSD,1,Moulton-Udell CSD,
