birth_year,resident_births,k_entry_year,source_note
2010,1541,2015,CDC WONDER final
2011,1548,2016,CDC WONDER final
2012,1552,2017,CDC WONDER final
2013,1523,2018,CDC WONDER final
2014,1495,2019,CDC WONDER final
2015,1462,2020,CDC WONDER final
2016,1438,2021,CDC WONDER final
2017,1421,2022,CDC WONDER final
2018,1407,2023,CDC WONDER final
2019,1385,2024,CDC WONDER final
2020,1356,2025,CDC WONDER final
2021,1312,2026,CDC WONDER final
2022,1298,2027,CDC WONDER final
2023,1280,2028,CDC WONDER (estimated; final available per Iowa DOE)
2024,1265,2029,CDC WONDER (estimated; final may be available)
