district,fiscal_year,data_basis,peer_group,days_net_cash,moodys_net_cash_ratio,current_ratio,receivables_inventory_ratio,creditor_equity_ratio,solvency_ratio,moodys_avail_fb_ratio,sp_available_reserves_pct,unrestricted_np_pp,uab_pct_of_max,ubr_unrestricted_pct,operating_margin,sp_oper_result_3yr,employee_cost_ratio,foundation_aid_ratio,transportation_ratio,investment_income_ratio,gf_per_pupil,local_share_pct,moodys_ltl_ratio,moodys_fixed_costs_ratio,sp_current_cost_pct,net_direct_debt_pp,npl_pp,debt_per_pupil,enrollment_cagr_3yr,valuation_per_pupil,grand_total_levy_rate,certified_enrollment,opinion_type,findings_count,repeat_finding,report_lag_months,gfoa_award,confidence,sources
Iowa City CSD,2015,audited,Large (>14k),67,18.2,120.5,71.57,0.0,9.34,8.2,8.2,-2518,4.44,2.16,1.69,,83,38.2,3.06,0.05,10404,,52.3,6.9,9.5,1349,4039,1349,,,,13328.0,unmodified,0,N,6,Y,verbatim-district,
Iowa City CSD,2016,audited,Large (>14k),84,22.2,124.5,66.73,0.0,11.45,10.3,10.3,-4467,6.36,3.86,3.11,,84,36.0,2.24,0.03,10614,,92.2,6.8,11.9,5137,4759,5137,,,,13671.0,unmodified,1,N,5,Y,verbatim-district,
Iowa City CSD,2017,audited,Large (>14k),88,23.5,127.4,65.43,0.0,12.26,11.8,11.8,-2360,6.64,4.20,2.27,2.36,84,36.2,2.18,0.07,10999,45.7,109.8,9.3,11.3,6128,5991,6128,,,,13982.0,unmodified,1,N,6,Y,verbatim-district,
Iowa City CSD,2018,audited,Large (>14k),79,21.9,123.6,66.4,0.0,10.96,10.6,10.6,-2845,5.44,3.95,-1.76,1.21,84,35.5,2.16,0.21,11689,46.3,161.8,10.0,13.2,11554,6376,11554,2.13,,,14198.0,unmodified,1,N,5,Y,verbatim-district,
Iowa City CSD,2019,audited,Large (>14k),63,17.8,116.1,71.0,0.0,7.03,6.8,6.8,-4151,1.92,0.62,-3.58,-1.02,85,35.1,2.20,0.36,12086,46.4,188.2,14.0,18.6,14804,6385,14804,1.48,,,14285.0,unmodified,1,N,5,Y,verbatim-district,
Iowa City CSD,2020,audited,Large (>14k),52.6,14.7,111.2,76.26,0.0,4.21,4.1,4.1,-4519,1.17,,-1.98,-2.44,,49.3,1.99,0.147,11879,46.3,210.0,,,17827,5904,17827,1.39,429084,14.79,14572.0,unmodified,2,N,7,Y,audited,
Iowa City CSD,2021,audited,Large (>14k),42.9,11.4,116.1,79.81,0.0,6.34,6.1,6.1,-3629,1.68,,2.89,-0.89,,45.9,2.02,0.009,12950,45.7,188.3,,,17155,7173,17155,0.2,464943,14.84,14284.0,unmodified,2,N,7,Y,audited,
Iowa City CSD,2022,audited,Large (>14k),38.8,10.9,109.7,79.67,0.0,2.82,2.7,2.7,-2892,0.12,,-2.76,-0.62,,44.3,1.94,0.022,14046,42.9,124.4,,,16011,143,16011,0.26,473211,14.85,14395.0,unmodified,3,N,6,Y,audited,
Iowa City CSD,2023,audited,Large (>14k),33.4,9.1,109.3,82.67,0.0,2.45,2.4,2.4,-2483,-1.21,,0.77,0.3,,45.2,1.86,0.265,14396,42.1,189.1,,,22281,4249,22281,-0.3,474201,14.93,14440.0,unmodified,7,Y,26,N,audited,
Iowa City CSD,2024,management-unaudited,Large (>14k),47.7,12.5,,,,,,,,1.64,,4.05,0.69,,,,,13723,,,,,,,,0.36,476507,16.27,14439.8,,,,,,management-unaudited,
Iowa City CSD,2025,management-unaudited,Large (>14k),33.3,9.1,,,,,,,,2.31,,-0.1,1.57,,,,,14743,,,,,,,,-0.04,495773,16.82,14378.7,,,,,,management-unaudited,
Ankeny CSD,2015,audited,Mid (7-14k),71.4,19.1,114.2,67.65,0.0,6.63,6.4,6.4,-3180,,,2.39,,,55.6,,0.027,9969,,224.8,19.9,37.5,19443,3451,19443,,,,9901.9,unmodified,0,N,5,Y,High,
Ankeny CSD,2016,audited,Mid (7-14k),86.2,22.5,122.2,64.48,0.0,10.36,10.0,10.0,-2546,,,4.88,,,58.0,,0.04,10169,,202.8,18.6,23.9,17334,4273,17334,,,,10346.4,unmodified,2,Y,5,Y,High,
Ankeny CSD,2017,audited,Mid (7-14k),101.1,26.4,131.2,59.85,0.0,,14.1,14.1,-2079,,,4.8,4.02,,57.5,3.39,0.064,10471,41.0,164.5,16.8,17.3,12663,5337,12663,,,,10793.1,unmodified,2,N,4,Y,High,
Ankeny CSD,2018,audited,Mid (7-14k),106.0,28.6,132.7,57.71,0.0,,15.2,15.2,-2410,,,1.58,3.75,,58.1,3.51,0.219,10827,40.4,170.3,13.9,17.3,12771,5545,12771,4.17,,,11193.3,unmodified,3,Y,5,Y,High,
Ankeny CSD,2019,audited,Mid (7-14k),79.2,22.7,125.9,65.4,0.0,,11.9,11.9,-2888,,,-4.43,0.65,,58.3,3.75,0.395,11388,40.0,156.1,14.6,20.0,11244,5348,11244,3.73,,,11548.7,unmodified,1,N,4,Y,High,
Ankeny CSD,2020,audited,Mid (7-14k),82.1,22.3,126.9,65.62,0.0,,8.8,8.8,-3021,17.61,,0.88,-0.66,79.4,56.3,3.93,0.201,11088,41.2,151.6,,,11637,4818,11637,4.33,309071,17.52,12255.8,unmodified,2,Y,4,Y,audited,
Ankeny CSD,2021,audited,Mid (7-14k),86.6,23.2,130.8,64.52,0.0,,12.0,12.0,-3237,16.81,,2.03,-0.51,80.3,55.0,3.53,0.034,11820,42.0,138.9,,,10342,5878,10342,2.76,339403,17.41,12147.4,unmodified,1,Y,7,Y,audited,
Ankeny CSD,2022,audited,Mid (7-14k),100.7,27.5,131.5,60.38,0.0,,11.2,11.2,-2228,15.72,,0.41,1.11,79.7,54.5,4.09,0.035,11843,42.8,97.9,,,11119,102,11119,2.71,350791,17.32,12512.3,unmodified,3,Y,5,Y,audited,
Ankeny CSD,2023,audited,Mid (7-14k),100.0,27.5,129.3,60.08,0.0,9.23,8.9,8.9,-1402,13.33,,-0.23,0.74,76.3,55.8,5.03,0.711,12432,40.8,105.2,,,9369,3231,9369,1.12,370531,17.05,12671.3,unmodified,2,Y,5,Y,audited,
Ankeny CSD,2024,audited,Mid (7-14k),89.9,24.7,129.7,61.42,0.0,11.05,10.6,10.6,-1137,11.8,,-0.35,-0.06,76.2,,,1.284,12928,,91.1,,,7680,3628,7680,1.64,381917,17.0,12753.8,unmodified,4,Y,6,Y,audited,
Ankeny CSD,2025,audited,Mid (7-14k),106.1,28.1,135.3,59.09,0.0,13.38,13.0,13.0,-1582,14.01,,3.46,0.96,77.0,,,0.788,13142,,67.9,,,5937,2894,5937,0.64,431826,16.05,12753.8,unmodified,6,Y,5,Y,audited,
Cedar Rapids CSD,2015,audited,Large (>14k),63.1,16.7,118.2,70.26,0.0,6.58,6.3,6.3,-4652,,,3.58,,,55.5,,,11318,,105.3,11.4,10.8,7459,4626,7459,,,,16843.0,unmodified,2,N,6,Y,High,
