field,source,definition,formula,limitations,consistently_available
district_code,CAR (state 4-digit Dist),State district identifier,,,Yes (all)
district_name / district_name_display,CAR / canonical,Official district name,,,Yes (all)
fiscal_year,All,Actual fiscal year of the financial position (year ended June 30),,SBRC levy files are labelled by budget year = actual_year+2; remapped to actual year here,Yes (all)
certified_enrollment,DOM/DE UAB workbook (x249); audited file for the 15,Budget/funding certified enrollment,,DOM x249 differs ~1-3% from audited certified enrollment (definition/lag),Yes (statewide FY2017+)
gf_revenues / gf_revenue,CAR (statewide); audited (15),Annual General Fund revenues,,,Yes (FY2017+)
gf_expenditures / gf_expenditure,CAR (statewide); audited (15),Annual General Fund expenditures (primary denominator),,,Yes (FY2017+)
gf_total_fund_balance,CAR (statewide); audited (15),Ending GF fund balance,,,Yes (FY2017+)
gf_unassigned,"CAR (statewide FY2023-24 only); audited (15, FY2020-25)",GF unassigned fund balance,,Statewide split available only FY2023-24; otherwise only the assigned+unassigned SUM is available,Statewide: FY2023-24. 15 districts: FY2020-25
gf_assigned,CAR (statewide FY2023-24); audited (15),GF assigned fund balance,,Same limitation as gf_unassigned,Partial
gf_assigned_plus_unassigned,CAR split (FY2023-24) else SBRC combined (FY2020-24),Practical operating numerator (assigned + unassigned),gf_assigned + gf_unassigned,Source noted in assigned_unassigned_source; statewide available FY2020-2024,Statewide FY2020-2024
assigned_unassigned_source,derived,Which source supplied the practical numerator,,,Yes
gf_cash_and_investments / cash_and_investments,Audited ACFR (15 only),GF cash and investments at year end,,Not available statewide; year-end snapshot only (not an intra-year low),15 districts only
management_fund_balance,CAR,Management Fund ending balance,,May be legally restricted; treat operating-adjacent case as secondary,"Yes (FY2017+, gaps in FY2024)"
ppel_fund_balance,CAR,PPEL Fund ending balance,,Capital; NOT operating liquidity,Yes
save_fund_balance,CAR ('Sales Tax'),SAVE / statewide penny capital projects balance,,Capital; NOT operating liquidity,Yes
other_capital_projects_balance,CAR,Other Capital Projects ending balance,,Capital; NOT operating liquidity,Yes
debt_service_fund_balance,CAR,Debt Service Fund ending balance,,Restricted; NOT operating liquidity,Yes
total_governmental_fund_balance,CAR (sum of governmental funds),Total governmental fund balance,"sum of General, Management, PPEL, PERL, Debt Service, Sales Tax, Other Capital Projects, Activity, Emergency/Disaster, Entrepreneurial/Reorg (excludes Enterprise & Nutrition)",Approximation by summing CAR funds; do NOT use as operating liquidity,Yes
cash_reserve_levy_amount,SBRC Final Cash Reserve Levies (Final Cash Reserve Levy),Cash reserve levy certified (for budget year actual_year+2),,2-year lag between the actuals year and the levy budget year (see cash_reserve_levy_budget_fy),Statewide FY2020-2024
max_cash_reserve_levy_capacity,SBRC (Final Maximum Cash Reserve Levy),State-computed maximum cash reserve levy the district could certify,,,Statewide FY2020-2024
sbrc_20pct_cap,SBRC (20% of Expenditures),20% of prior-year GF expenditures (statutory reference cap),,,Statewide FY2020-2024
cash_reserve_levy_budget_fy,derived,Budget fiscal year the certified levy applies to,actual_year + 2,,Yes (where levy present)
unspent_authorized_budget,DOE/DOM UAB workbook,Year-end unspent authorized (spending-authority) budget,,"State-computed, unaudited; exists even when audit is missing",Statewide FY2017+
uab_per_pupil,DOE/DOM UAB workbook,UAB per certified pupil,UAB / enrollment,,Statewide FY2017+
solvency_ratio_pct,Audited (ISFIS definition),Solvency ratio,,15 districts only,15 districts
operating_margin_pct,Audited,GF operating margin,,15 districts only,15 districts
findings_count / material_weakness / significant_deficiency / repeat_finding,Audited ACFR,Audit finding indicators,,15 districts only; ICCSD missing FY2024-25 audits,15 districts
conservative_reserve_ratio,derived (Metric 1),Narrowest operating cushion,gf_unassigned / gf_expenditures,Needs unassigned split (statewide FY2023-24 only),Partial
practical_cushion_ratio,"derived (Metric 2, PRIMARY)",Practically available operating reserve ratio,(gf_assigned + gf_unassigned) / gf_expenditures,,Statewide FY2020-2024
broad_cushion_ratio,derived (Metric 3),Total GF balance vs operating scale,gf_total_fund_balance / gf_expenditures,May overstate available liquidity,Yes (FY2017+ where exp present)
operating_adjacent_ratio,derived (Metric 4),Operating-adjacent cushion incl. Management Fund,(gf_assigned + gf_unassigned + management_fund_balance) / gf_expenditures,Management Fund may be restricted; secondary case,Statewide FY2020-2024
conservative_days_cushion / practical_days_cushion / operating_adjacent_days_cushion,derived (Metric 5),Approximate days of cushion,ratio * 365,Year-end proxy; not an intra-year low,As per underlying ratio
gf_cash_days,derived (Metric 6),Approximate raw cash days on hand,gf_cash_and_investments / (gf_expenditures / 365),Cash != usable liquidity; 15 districts only,15 districts
crl_reliance,derived (Metric 7),Cash reserve levy reliance,cash_reserve_levy_amount / gf_expenditures,,Statewide FY2020-2024
crl_capacity_used_pct,derived (Metric 7),Share of maximum cash reserve levy used,cash_reserve_levy_amount / max_cash_reserve_levy_capacity,Near 1.0 = limited levy headroom,Statewide FY2020-2024
crl_levy_headroom,derived,Remaining cash reserve levy capacity ($),max_cash_reserve_levy_capacity - cash_reserve_levy_amount,,Statewide FY2020-2024
uab_cushion,derived (Metric 8),Spending-authority cushion,unspent_authorized_budget / gf_expenditures,"Spending authority, NOT cash",Statewide FY2017+
operating_result_pct,derived (Metric 9),Current-year structural operating result,(gf_revenues - gf_expenditures) / gf_revenues,,Yes
operating_result_3yr_avg,derived (Metric 9),3-year average operating result,rolling mean of operating_result_pct,,Yes (>=2 yrs)
enrollment_3yr_trend,derived (Metric 10),3-year certified enrollment change,(enr - enr_lag3) / enr_lag3,Needs 3 prior years,Yes (FY2020+)
fb_drawdown_years,derived,Consecutive years of GF fund-balance decline,,,Yes
