district_code,district_name,fiscal_year,gf_revenues,gf_expenditures,gf_total_fund_balance,gf_unassigned_car,gf_assigned_car,management_fund_balance,ppel_fund_balance,save_fund_balance,other_capital_projects_balance,debt_service_fund_balance,total_governmental_fund_balance,cash_reserve_levy_budget_fy,sbrc_expenditures,sbrc_20pct_cap,gf_assigned_plus_unassigned_sbrc,max_cash_reserve_levy_capacity,cash_reserve_levy_amount,levying_maximum_cash_reserve,certified_enrollment,unspent_authorized_budget,uab_per_pupil,gf_assigned_plus_unassigned,assigned_unassigned_source,gf_unassigned,gf_assigned,is_focus15,is_named_focus,district_name_display,conservative_reserve_ratio,practical_cushion_ratio,broad_cushion_ratio,operating_adjacent_ratio,conservative_days_cushion,practical_days_cushion,operating_adjacent_days_cushion,crl_reliance,crl_capacity_used_pct,crl_levy_headroom,uab_cushion,operating_result_pct,operating_result_3yr_avg,fb_drawdown_years,enrollment_3yr_trend,practical_days_cushion_pctile,uab_cushion_pctile,crl_reliance_pctile,flag_low_unrestricted,flag_negative_operating,flag_multiyear_drawdown,flag_weak_uab,flag_declining_enrollment,flag_high_crl_reliance,flag_limited_levy_headroom,flag_special_ed_pressure,flag_short_term_borrowing,flag_audit_concern,risk_flag_count,cushion_band,risk_class,risk_rationale
9,AGWSR,2017,7531947.0,7151479.0,1264582.0,,,427315.0,761469.0,303701.0,0.0,497428.0,3387209.0,,,,,,,,625.5,1573050.0,2514.868105515588,,missing,,,False,False,AGWSR,,,0.17682803794851387,,,,,,,,0.21996149327992154,0.05051389766815938,,0,,,0.4864864864864865,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
9,AGWSR,2018,7368195.0,7396011.0,1236765.0,,,373260.0,721903.0,390769.0,0.0,495228.0,3324511.0,,,,,,,,622.7,1626459.0,2611.946362614421,,missing,,,False,False,AGWSR,,,0.1672205463188197,,,,,,,,0.2199103002956594,-0.0037751443874653153,0.02336937664034703,1,,,0.44144144144144143,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
9,AGWSR,2019,7660031.17,7723827.83,1172968.77,,,480150.74,793472.61,537721.56,0.0,554299.13,3636627.15,,,,,,,,626.3,1586432.0,2533.022513172601,,missing,,,False,False,AGWSR,,,0.15186366084496217,,,,,,,,0.20539453169038335,-0.008328511801604085,0.012803413826363325,2,,,0.3211009174311927,,,True,True,False,False,False,False,False,False,False,2,,Unscored (insufficient component data),2 risk flag(s)
9,AGWSR,2020,8215338.91,7838502.86,1549804.82,,,545828.74,1103400.79,723800.58,0.0,495527.5,4530755.29,2022.0,7838503.0,1567701.0,966606.0,601095.0,601095.0,Max,646.7,1910375.0,2954.0358744394616,966606.0,SBRC (combined),,,False,False,AGWSR,,0.12331513010381168,0.19771694259482608,0.1929494403475921,,45.01002248789126,70.42654572687111,0.07668492449845199,1.0,0.0,0.24371682119919516,0.04586981183957021,0.011255385216833605,0,0.03389288569144692,0.2324159021406728,0.3761467889908257,0.9235474006116208,,False,False,False,False,True,True,False,False,False,2,Low,Low risk,45-day practical cushion; 2 risk flag(s)
9,AGWSR,2021,8964839.79,8770625.92,1744018.69,,,465377.87,874070.88,880194.75,0.0,497927.5,4580208.23,2023.0,8770626.0,1754125.0,1190116.0,564009.0,0.0,,645.2,1850791.0,2868.553936763794,1190116.0,SBRC (combined),,,False,False,AGWSR,,0.13569339416085824,0.19884768839850372,0.18875435859428377,,49.528088868713255,68.89534088691357,0.0,0.0,564009.0,0.21102154132233245,0.02166395323836559,0.019735084425443906,0,0.036132969327123815,0.20489296636085627,0.2415902140672783,0.2889908256880734,,False,False,True,False,False,False,False,False,False,1,Low,Low risk,50-day practical cushion; 1 risk flag(s)
9,AGWSR,2022,9949146.81,9940866.83,1752298.67,,,481643.96,1173974.99,8009286.91,0.0,1166913.0,12695752.57,2024.0,9940867.0,1988173.0,1221374.0,766799.0,370000.0,,676.2,1792304.0,2650.553090801538,1221374.0,SBRC (combined),,,False,False,AGWSR,,0.12286393338597817,0.17627222051821811,0.17131483492571845,,44.845335685882034,62.52991474788723,0.0372200942158683,0.4825254075709541,396799.0,0.1802965506580476,0.0008322301558238286,0.02278866507791988,0,0.07967427750279434,0.15384615384615385,0.1559633027522936,0.8123076923076923,,False,False,True,False,True,False,False,False,False,2,Moderate,Moderate risk,45-day practical cushion; 2 risk flag(s)
9,AGWSR,2023,9329201.06,10027786.62,1053713.11,474752.48,15757.0,387145.46,996471.58,2564757.79,0.0,794715.66,5913443.2,2025.0,10027787.0,2005557.0,490509.0,1515048.0,1000000.0,,680.1,1487710.0,2187.487134244964,490509.48,CAR (split),474752.48,15757.0,False,False,AGWSR,0.047343695871342746,0.04891502966583866,0.10507933105580983,0.08752229911330124,17.280448993040103,17.85398582803111,31.945639176354952,0.09972290375680133,0.6600450942808412,515048.0,0.1483587611480309,-0.07488160620690906,-0.01746180760423988,1,0.0516468223287459,0.04956268221574344,0.10736196319018405,0.9569230769230769,False,True,False,True,False,True,False,False,False,False,3,High,Very high risk,18-day practical cushion; 3 risk flag(s)
9,AGWSR,2024,9692578.8,10259078.21,487213.7,-155501.85,0.0,,,,,,615715.52,2026.0,10259078.0,2051816.0,-155502.0,2207318.0,1000000.0,,686.4,1222069.0,1780.4035547785547,-155501.85,CAR (split),-155501.85,0.0,False,False,AGWSR,-0.0151574875263574,-0.0151574875263574,0.047490982135713726,,-5.53248294712045,-5.53248294712045,,0.09747464436183491,0.4530384838070455,1207318.0,0.11912074116062323,-0.05844671698722739,-0.044165364346104206,2,0.0638561686298821,0.020833333333333332,0.08463949843260188,0.9623824451410659,True,True,True,True,False,True,False,False,False,False,5,Very high,Very high risk,-6-day practical cushion; 5 risk flag(s)
441,AHSTW,2017,9071692.0,8505816.0,1899544.0,,,401203.0,917867.0,860815.0,0.0,466458.0,4554806.0,,,,,,,,785.0,2687923.0,3424.1057324840763,,missing,,,False,False,AHSTW,,,0.22332295925517318,,,,,,,,0.31601001009191826,0.06237822007184547,,0,,,0.7417417417417418,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
441,AHSTW,2018,8878461.0,9280424.0,1497581.0,,,250129.0,435521.0,653956.0,0.0,512119.0,3355535.0,,,,,,,,778.4,3141333.0,4035.628211716341,,missing,,,False,False,AHSTW,,,0.16136988999640534,,,,,,,,0.3384902457042911,-0.0452739500685986,0.008552135001623436,1,,,0.7537537537537538,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
