district_code,district,fiscal_year,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,cash_and_investments,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,go_debt_outstanding,save_rev_bonds,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,auditor,report_date,opinion_type,confidence,notes,district_name_display,gf_assigned_plus_unassigned_sbrc,cash_reserve_levy_amount,max_cash_reserve_levy_capacity,sbrc_20pct_cap,unspent_authorized_budget,certified_enrollment,management_fund_balance,ppel_fund_balance,save_fund_balance,total_governmental_fund_balance,gf_assigned_plus_unassigned_aud,flag_audit_concern,conservative_reserve_ratio,practical_cushion_ratio,broad_cushion_ratio,operating_adjacent_ratio,conservative_days_cushion,practical_days_cushion,operating_adjacent_days_cushion,gf_cash_days,crl_reliance,crl_capacity_used_pct,crl_levy_headroom,uab_cushion,operating_result_pct,operating_result_3yr_avg,fb_drawdown_years,enrollment_3yr_trend,practical_days_cushion_pctile,uab_cushion_pctile,crl_reliance_pctile,flag_low_unrestricted,flag_negative_operating,flag_multiyear_drawdown,flag_weak_uab,flag_declining_enrollment,flag_high_crl_reliance,flag_limited_levy_headroom,flag_special_ed_pressure,flag_short_term_borrowing,risk_flag_count,cushion_band,risk_class,risk_rationale
261,Ankeny CSD,2020,137102479,135892411,19620391,12052028,,92276855,9.15,0.88,107879785.0,79.39,71090000.0,71525000,2.0,N,N,Y,no single audit findings,Y,Bohnsack & Frommelt LLP,2020-10-29,unmodified,High,No assigned fund balance line in GF - only committed (3576800) and unassigned; solvency denominator = gf_revenue - aea_flowthrough. Capital additions = sum of govt capital asset Increases (21549437 not-depreciated + 2150887 depreciated). OPEB = governmental activities net OPEB liability.,Ankeny CSD,12111679.0,12634634.0,15071864.0,27183543.0,29060490.0,11977.0,7653184.27,4704105.73,36438160.57,80874264.3,12052028.0,False,0.08868801363749444,0.08868801363749444,0.1443818006878986,0.14500598028244566,32.37112497768547,32.37112497768547,52.92718280309266,247.85086839764733,0.09297527291645448,0.838292728756045,2437230.0,0.21384924872662683,0.008826011089121153,,0,,0.13333333333333333,0.8,0.9333333333333333,False,False,False,False,False,True,False,False,False,1,Moderate,Moderate risk,32-day practical cushion; 1 risk flag(s)
261,Ankeny CSD,2021,146552936,143576563,23381691,17570627,,82716956,12.48,2.03,115313719.0,80.32,61400000.0,64230000,1.0,N,N,Y,no single audit findings,Y,Bohnsack & Frommelt LLP,2022-01-19,unmodified,High,No assigned fund balance line - only committed (1508700) and unassigned. Report date Jan 19 2022 (delayed beyond typical Oct-Nov window). Capital additions include large CIP completions (19128835 not-depreciated + 30664833 depreciated). OPEB = governmental activities net OPEB liability.,Ankeny CSD,17721958.0,11017643.0,11017643.0,28739601.0,29038722.0,12255.8,7415768.95,8567263.81,21350381.05,71002772.0,17570627.0,False,0.12237810010816319,0.12237810010816319,0.1628517253195426,0.17402837502106802,44.66800653947956,44.66800653947956,63.520356882689825,210.28285055131178,0.0767370577048846,1.0,0.0,0.20225252223094378,0.020309200765517246,0.0145676059273192,0,,0.26666666666666666,0.6,0.8,False,False,False,False,False,True,True,False,False,2,Moderate,Moderate risk,45-day practical cushion; 2 risk flag(s)
261,Ankeny CSD,2022,148794966,148182929,24874180,16701092,,115613200,11.68,0.41,118078126.0,79.68,53465000.0,85655000,3.0,N,N,Y,no single audit findings,Y,Bohnsack & Frommelt LLP,2022-11-15,unmodified,High,No assigned fund balance - only committed (4354700) and unassigned. NPL dropped from 71.4M to 1.3M due to exceptional IPERS investment returns at 6/30/2021 measurement date. No GASB 87 lease obligations per note. GASB 96 (SBITA) not yet adopted. 3 findings: IV-A-22 budget exceeded; IV-H-22 enrollment variances; IV-I-22 supp weighting variances.,Ankeny CSD,16727252.0,11047397.0,12945280.0,29672532.0,27668299.0,12147.4,6975856.51,9259233.55,43234645.4,95384881.6,16701092.0,False,0.11270591094875712,0.11270591094875712,0.16786130607527672,0.1597818903282712,41.13765749629635,41.13765749629635,58.32038996981899,284.77516462102056,0.07455242702079401,0.8533918926434964,1897883.0,0.1867171825170226,0.004113291037009948,0.011082834297216114,0,,0.2,0.6,0.8,False,False,False,False,False,True,False,False,False,1,Moderate,Moderate risk,41-day practical cushion; 1 risk flag(s)
261,Ankeny CSD,2023,157168326,157531067,25010019,13508869,421574.0,95401273,9.23,-0.23,120234578.0,76.32,41065000.0,77255000,2.0,N,N,Y,no single audit findings,Y,Bohnsack & Frommelt LLP,2023-11-13,unmodified,High,First year with Assigned fund balance (421574). GASB 96 SBITA adopted - IT subscription obligation 401892. Capital additions (71659474) include SBITA right-to-use assets and large building completions. 2 findings: IV-G-23 board minutes not timely published; IV-H-23 enrollment variances. OPEB = governmental activities net OPEB liability.,Ankeny CSD,13981263.0,9140666.0,17488477.0,31469740.0,24198039.0,12512.2,6831277.89,9442658.26,23850409.72,75889938.18,13930443.0,False,0.08575368184359469,0.08842981429180569,0.15876245540824022,0.1317944535346796,31.30009387291206,32.27688221650907,48.10497554015806,221.04506309856964,0.058024529218734994,0.5226679258576947,8347811.0,0.15360804354864174,-0.0023079777537364623,0.007371504682930244,0,0.04468564749102452,0.2,0.4666666666666667,0.8,False,True,False,False,False,True,False,False,False,2,Moderate,Moderate risk,32-day practical cushion; 2 risk flag(s)
261,Ankeny CSD,2024,164304090,164885632,24877844,17012685,421574.0,81820157,11.05,-0.35,125600305.0,76.17,28900000.0,68460000,4.0,N,N,Y,no single audit findings,Y,Bohnsack & Frommelt LLP,2024-12-05,unmodified,High,No GASB 87 lease obligations. SBITA obligation 588503. Depreciation 13130726 includes amortization of right-to-use IT subscription. Capital additions include land purchase (2296108). 4 findings: IV-G-24 board minutes; IV-H-24 enrollment; IV-I-24 supp weighting; IV-N-24 competitive quotes not obtained (~72K warehouse roof project).,Ankeny CSD,16833353.0,10750000.0,15968192.0,32801545.0,21941093.0,12671.4,,,,27723705.8,17434259.0,False,0.10317869903910123,0.10573546517382425,0.1508793925719374,,37.66022514927195,38.59344478844585,,181.12164742771523,0.06519670555649143,0.6732133481360946,5218192.0,0.133068556270567,-0.003539424977187117,-0.0005780372313045438,1,0.03391047504038907,0.21428571428571427,0.2857142857142857,0.7142857142857143,False,True,False,False,False,False,False,False,False,1,Moderate,Moderate risk,39-day practical cushion; 1 risk flag(s)
261,Ankeny CSD,2025,173604694,167605001,31111172,22144084,421574.0,95549219,13.38,3.46,128984701.0,76.96,15930000.0,59365000,6.0,N,Y,Y,no federal single audit findings section in available extracted text; format changed from prior years,Y,Bohnsack & Frommelt LLP,2025-11-24,unmodified,High,First year with significant deficiency (2025-001: enterprise fund revenue not reconciled - meal POS and child care). Certified enrollment 12753.83 from statistical section; MD&A notes 12679.52 adjusted count. 6 findings: 2025-001 sig deficiency; II-A-25 budget exceeded; II-D-25 business transactions with employees ~120K; II-G-25 board minutes; II-H-25 enrollment; II-I-25 supp weighting. OPEB = governmental activities net OPEB.,,,,,,,,,,,,22565658.0,False,0.13212066386968965,0.13463594681163482,0.18562197914368916,,48.22404231243672,49.14212058624671,,208.08129069489996,,,,,0.034559509087928236,0.009570702119001552,0,,0.5714285714285714,,,False,False,False,False,False,False,False,False,False,0,Low,Low risk,49-day practical cushion; 0 risk flag(s)
882,Burlington CSD,2020,49204606,49365102,13373846,11752831,214614.0,35777836,25.34,-0.33,,,0.0,20240000,0.0,N,N,N,none - low-risk auditee,N,Nolte Cornman & Johnson P.C.,2021-03-15,unmodified,High,GF revenue/expenditure from Exhibit E (SOFRECFB). Enrollment 3913 = October 2020 count per MD&A (used for FY2021 funding; FY2020 actual October 2019 count not stated; 3913 reported as current at report date). Salaries+benefits not broken out by object in GF. Revenue bonds are SAVE bonds not GO. Part IV statutory findings: IV-H enrollment overstated 0.14; IV-I supplementary weighting understated 0.114; IV-N board policies not reviewed — these are Part IV statutory items not counted in findings_count (Parts II+III only). Cash = governmental activities SNP.,Burlington CSD,11967445.0,0.0,0.0,9873020.0,23320736.0,4137.4,2326638.61,1341578.19,6855306.17,29080159.5,11967445.0,False,0.23807974710555646,0.24242723128577756,0.2709170133994659,0.289558474122063,86.89910769352811,88.4859394193088,105.68884305455299,264.53728668483257,0.0,,0.0,0.4724134065397049,-0.0032618084575252973,,0,,1.0,0.9333333333333333,0.1,False,True,False,False,False,False,False,False,False,1,Very low,Low risk,88-day practical cushion; 1 risk flag(s)
882,Burlington CSD,2021,51880845,51073126,14133884,12410155,203863.0,38896016,25.28,1.56,,,0.0,18270000,0.0,N,N,N,none - low-risk auditee,N,Nolte Cornman & Johnson P.C.,2022-03-24,unmodified,High,MD&A boilerplate repeats 3913 enrollment from FY2020; no new enrollment number stated for FY2021. Fund balance beginning restated by $38394 for GASB 87 lease implementation in FY2022 (so FY2021 ending = beginning FY2022 as restated = $14172278). Revenue bond balance per SNP = $18270000 (non-current). No Part IV exceptions noted (no enrollment error no supplementary weighting error). Salaries+benefits not broken out by object. Capital additions = govtl increases.,Burlington CSD,12614018.0,0.0,0.0,10248707.0,24560543.0,4085.6,3399858.5,1497179.45,7855395.05,32032771.65,12614018.0,False,0.24298796592164731,0.24697955633262,0.2767381812501549,0.3135479997836827,88.69060756140127,90.14753806140631,114.44501992104418,277.9748754756073,0.0,,0.0,0.48088975403620293,0.01556873254473785,0.006153462043606277,0,,0.9333333333333333,0.9333333333333333,0.13333333333333333,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,90-day practical cushion; 0 risk flag(s)
882,Burlington CSD,2022,54609316,53080927,15291087,13655354,230351.0,32368614,26.39,2.80,,,0.0,7620000,0.0,N,N,N,none - low-risk auditee,N,Nolte Cornman & Johnson P.C.,2023-04-03,unmodified,Medium,Enrollment: October 2021 increased by 3.7 from ~3913 = ~3917 but exact number not stated; left blank. GASB 87 implemented; beginning fund balance restated +$34119. Revenue bond balance $7620000 (total: $330000 current + $7290000 non-current). Depreciation includes amortization of right-to-use lease asset. IPERS NPL dramatically reduced ($484394 total) due to IPERS strong investment returns (June 30 2021 measurement date). Part IV: IV-I supplementary weighting overstated 0.105. Capital additions = CIP increases + depreciable increases.,Burlington CSD,13837757.0,0.0,0.0,10746608.0,25659924.0,3913.1,4138438.91,1492974.78,3727742.53,26440054.31,13885705.0,False,0.25725537913081287,0.2615949981431183,0.28807121247147777,0.339559704938838,93.89821338274669,95.48217432223818,123.93929230267588,222.57606974346925,0.0,,0.0,0.4834113767455493,0.02798769719071376,0.013431540425975436,0,,0.9333333333333333,0.9333333333333333,0.16666666666666666,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,95-day practical cushion; 0 risk flag(s)
882,Burlington CSD,2023,58031345,53765906,14955075,13507672,238500.0,73408036,24.52,7.35,,,0.0,43655000,1.0,N,Y,N,none - not low-risk auditee,N,Nolte Cornman & Johnson P.C.,2024-03-12,unmodified,High,Enrollment: October 2022 decreased by 56.6 from ~3917 = ~3860 but exact number not stated; left blank. Revenue bonds $43655000 (large increase from new bonds issued in FY2023 for high school renovations). Lease liability $526611 ($176888 current + $349723 non-current). Finding 2023-001 in Part II: Internal Control Deficiency - negative lunch account balances in School Nutrition Fund (enterprise fund). Classified as significant deficiency (Part I omits the usual no-sig-def statement). Part IV: IV-H enrollment overstated 2.00; IV-I supp weighting overstated 0.142; IV-N student activity fund inactive accounts and scholarship handling. CIP surged from $1.8M to $9.7M (high school air quality and renovation project underway).,Burlington CSD,13745391.0,0.0,0.0,11704940.0,26063873.0,3916.8,4723208.68,1403119.78,40281886.01,66506133.66,13746172.0,False,0.25123117984843407,0.2556670764554772,0.27815164130220366,0.3435147299480083,91.69938064467844,93.31848290624917,125.38287643102304,498.3443065201952,0.0,,0.0,0.4847658105119627,0.073502328784556,0.03901958617333587,1,-0.053318509208681655,0.9333333333333333,1.0,0.13333333333333333,False,False,False,False,True,False,False,False,False,1,Very low,Low risk,93-day practical cushion; 1 risk flag(s)
