district_name_display,practical_days_cushion,conservative_reserve_ratio,uab_cushion,crl_capacity_used_pct,risk_flag_count,risk_class,is_named_focus,is_focus15
Graettinger-Terril,-56.01761841199446,-0.1534729271561492,0.1478748736367225,0.2812536801974779,4,Very high risk,False,False
Woodward-Granger,-26.618923798551418,-0.0729285583521956,0.1561669394434407,0.2044042026301735,5,Very high risk,False,False
Whiting,-22.7512260184177,-0.0623321260778567,0.1415536153459347,0.5807883059253459,5,Very high risk,False,False
Tripoli,-18.171332300745995,-0.0497844720568383,-0.021444273990802,0.2692907957602857,6,Very high risk,False,False
North Cedar,-10.626286605364148,-0.029113113987299,0.0571471033051232,0.5722898075585476,5,Very high risk,False,False
North Tama,-8.862437906188662,-0.0242806517977771,0.2201292175708961,0.289230105992178,4,Very high risk,False,False
AGWSR,-5.53248294712045,-0.0151574875263574,0.1191207411606232,0.4530384838070455,5,Very high risk,False,False
Camanche,-5.187587938525052,-0.0142125696945891,-0.0355696750901907,0.6119559609436369,3,Very high risk,False,False
Paton-Churdan,-4.025276237338221,-0.0110281540748992,0.3726699234785456,0.5530182657886715,5,Very high risk,False,False
Marcus-Meriden Cleghorn,-3.38037162705606,-0.0092612921289207,0.0866743728005026,0.167757296199738,4,Very high risk,False,False
Colfax-Mingo,1.3349465997780068,0.0036573879445972,0.0099885366158857,0.299088776195192,6,Very high risk,False,False
Fairfield,1.34765657956739,0.0036922098070339,0.1155903426197254,0.3464018334173858,5,Very high risk,False,False
Glidden-Ralston,4.656645968708476,0.0127579341608451,0.5620569792789823,0.2386871823073603,4,Very high risk,False,False
Sidney,8.783847459240619,0.0232254958264646,0.2491879830771217,0.0285656516260086,2,Very high risk,False,False
Woodbury Central,10.907475620719229,0.0298834948512855,0.0609460463572523,0.2590961593495823,4,Very high risk,False,False
HLV,14.844043307965675,0.0406686118026456,0.2791087741170546,0.6098416241302134,4,Very high risk,False,False
Moulton-Udell,15.439916405732411,0.042301140837623,0.1774531429339274,0.5602206658273543,5,Very high risk,False,False
Guthrie Center,15.590536081098085,0.0427137974824605,0.1063503627293475,0.3929729451226381,5,Very high risk,False,False
Council Bluffs,17.10226163536958,0.0468555113297796,0.0424226525797242,0.288803823800503,4,Very high risk,False,False
Southeast Warren,17.379270926785686,0.0476144408953032,0.3179336919575189,0.5052632197819458,4,Very high risk,False,False
Gilbert,17.385415442212526,0.0476312751841439,0.11890177276399,0.7335907102307619,4,Very high risk,False,False
