District,GF unassigned / GF exp.,GF (assigned+unassigned) / GF exp.,Practical days cushion,GF cash days,Cash reserve levy / GF exp.,UAB / GF exp.,Risk class
Waterloo CSD,0.0506366954906163,0.0579121755916394,21.137944090948405,130.21993934794529,0.0650128408327672,0.1455229343810394,Moderate risk
Linn-Mar CSD,0.0549713288228302,0.0607548116306699,22.175506245194544,193.3688887711744,0.0983279474911793,0.1067142465265928,Moderate risk
Iowa City CSD,0.0751003385135858,0.0751003385135858,27.41162355745885,,0.121222837949434,0.0166746291612527,Moderate risk
Ankeny CSD,0.1000671127482586,0.1026375653055597,37.462711336529296,181.12164742771523,0.0655456940010247,0.1337808528210255,Moderate risk
College Community CSD (Prairie),0.115721759680721,0.1175638968459026,42.91082234875447,185.70932449995604,0.0824361067583296,0.1816755286896181,High risk
Waukee CSD,0.1169152511826179,0.1199481065759959,43.78105890023851,333.12884090180694,0.0800518937688561,0.4501147621772601,Moderate risk
Johnston CSD,0.1215563457220538,0.1215563457220538,44.368066188549655,257.8530691746552,0.0784436567328105,0.2749047879635655,High risk
West Des Moines CSD,0.1476928387480518,0.1476928387480518,53.90788614303892,220.41638915526696,0.0523071654386608,0.1042511559841635,Moderate risk
Dubuque CSD,0.150464398619139,0.150464398619139,54.91950549598573,233.02942023255756,0.049535603188023,0.1058040285470943,Moderate risk
Burlington CSD,0.1477869376861731,0.1520829979744931,55.51029426069001,381.01243897029,0.0479170141646731,0.4138218191172312,Moderate risk
Muscatine CSD,0.1604785502539208,0.163043824875853,59.510996079686365,245.08333836854533,0.0241333930633739,0.2612449613356737,Low risk
Cedar Rapids CSD,0.1682971070957186,0.1682971070957186,61.42844408993731,240.566941636466,0.0317028906305314,0.1555077650965233,Low risk
Pleasant Valley CSD,0.1504825254193489,0.202770024487341,74.01105893787947,359.4316345411553,0.0,0.2800344863703857,Low risk
Davenport CSD,0.2347265921482952,0.2347265921482952,85.67520613412778,122.15227213762788,0.0,0.1755006626578474,Low risk
Des Moines Independent CSD,0.3301509346129414,0.3387807237742738,123.65496417760994,247.056347174336,0.0,0.2661691028515822,Low risk
Sioux City,0.3772166350120863,0.3772166350120863,137.6840717794115,,0.0,0.4206946264445091,Low risk
