district,fiscal_year,gf_expenditures,gf_unassigned,gf_assigned_plus_unassigned,practical_days_cushion,uab_cushion,certified_enrollment,risk_class,_src
Ankeny CSD,2020,135892411.0,12052028.0,12052028.0,32.37112497768547,0.2138492487266268,11977.0,Moderate risk,Audited
Ankeny CSD,2021,143576563.0,17570627.0,17570627.0,44.66800653947956,0.2022525222309437,12255.8,Moderate risk,Audited
Ankeny CSD,2022,148182929.0,16701092.0,16701092.0,41.13765749629635,0.1867171825170226,12147.4,Moderate risk,Audited
Ankeny CSD,2023,157531067.0,13508869.0,13930443.0,32.27688221650907,0.1536080435486417,12512.2,Moderate risk,Audited
Ankeny CSD,2024,164885632.0,17012685.0,17434259.0,38.59344478844585,0.133068556270567,12671.4,Moderate risk,Audited
Ankeny CSD,2025,167605001.0,22144084.0,22565658.0,49.14212058624671,,,Low risk,Audited
Burlington CSD,2020,49365102.0,11752831.0,11967445.0,88.4859394193088,0.4724134065397049,4137.4,Low risk,Audited
Burlington CSD,2021,51073126.0,12410155.0,12614018.0,90.14753806140632,0.4808897540362029,4085.6,Low risk,Audited
Burlington CSD,2022,53080927.0,13655354.0,13885705.0,95.48217432223818,0.4834113767455493,3913.1,Low risk,Audited
Burlington CSD,2023,53765906.0,13507672.0,13746172.0,93.31848290624916,0.4847658105119627,3916.8,Low risk,Audited
Burlington CSD,2024,54871021.0,8571515.0,8820661.0,58.6747103721653,0.4373751857105046,3860.2,Moderate risk,Audited
Burlington CSD,2025,56049281.0,3921837.0,4152951.0,27.044541659686946,,,Moderate risk,Audited
Cedar Rapids CSD,2020,218169217.0,25003962.0,25003962.0,41.83196078482512,0.0826570276410718,16963.2,Moderate risk,Audited
Cedar Rapids CSD,2021,221810281.0,30805268.0,30805268.0,50.69162154841686,0.115544409774225,16851.5,Low risk,Audited
Cedar Rapids CSD,2022,228523828.0,28087999.0,28087999.0,44.86236610302187,0.1339193171575963,16236.8,Moderate risk,Audited
Cedar Rapids CSD,2023,229342377.0,38324951.0,38324951.0,60.99442805984346,0.1345787220126353,16086.2,Low risk,Audited
Cedar Rapids CSD,2024,233188518.0,39377259.0,39377259.0,61.63553702502625,0.1560320650093072,15959.3,Low risk,Audited
Cedar Rapids CSD,2025,240345218.0,30777057.0,30777057.0,46.73954363843428,,,Low risk,Audited
College CSD (Prairie),2020,63091052.0,10373174.0,10485059.0,60.659101626645885,0.1314536172261004,5139.6,Low risk,Audited
College CSD (Prairie),2021,65566658.0,13370935.0,13490981.0,75.10231900183169,0.1592227104208971,5194.1,Low risk,Audited
College CSD (Prairie),2022,69615997.0,13006961.0,13147651.0,68.93376266664686,0.1711764179718635,5089.3,Low risk,Audited
College CSD (Prairie),2023,72308222.0,12210480.0,12342930.0,62.305078528967286,0.1935768106702997,5130.9,Low risk,Audited
College CSD (Prairie),2024,75383474.0,8733156.0,8872176.0,42.95827809686776,0.1818764282473901,5147.9,High risk,Audited
College CSD (Prairie),2025,79645682.0,4684712.0,4810293.0,22.04459678052603,,,Moderate risk,Audited
Davenport CSD,2020,183013826.0,19897473.0,19897473.0,39.68321849629,0.0109547461184708,15053.7,Moderate risk,Audited
Davenport CSD,2021,191417781.0,22312601.0,22312601.0,42.54620089342693,0.0418044862822853,14930.5,Moderate risk,Audited
Davenport CSD,2022,195608139.0,31864061.0,31864061.0,59.45755797513108,0.0839122956944036,14470.6,Low risk,Audited
Davenport CSD,2023,201686938.0,46354674.0,46354674.0,83.88969646611423,0.1374310615990411,14412.6,Low risk,Audited
Davenport CSD,2024,214069537.0,51735493.0,51735493.0,88.21178019831939,0.1848166467515646,14164.5,Low risk,Audited
Davenport CSD,2025,201929149.0,46050819.0,46050819.0,83.23983445797616,,,Low risk,Audited
Des Moines Independent CSD,2020,432741578.0,91410321.0,93784443.0,79.10338048219624,0.0550245879077512,32788.8,Low risk,Audited
Des Moines Independent CSD,2021,450242429.0,151959117.0,154333239.0,125.11400216126675,0.1603191355384234,32606.7,Low risk,Audited
Des Moines Independent CSD,2022,465845285.0,154372935.0,156703977.0,122.78100357933216,0.1772542508399543,31621.5,Low risk,Audited
Des Moines Independent CSD,2023,486633749.0,160586811.0,163289837.0,122.47566188632756,0.2189910650853769,31023.8,Low risk,Audited
Des Moines Independent CSD,2024,491327193.0,154171736.0,156973369.0,116.61328845887836,0.2629872900195857,30773.9,Low risk,Audited
Des Moines Independent CSD,2025,517163529.0,113882199.0,115327172.0,81.39479182028708,,,Low risk,Audited
Dubuque CSD,2020,132654280.0,16524327.0,16524327.0,45.46690355561841,0.0788838777007421,10429.8,Low risk,Audited
Dubuque CSD,2021,137835817.0,23065023.0,23065023.0,61.077980877785926,0.1013470758474918,10489.0,Low risk,Audited
Dubuque CSD,2022,144537665.0,28035617.0,28035617.0,70.79815634907344,0.1103599743361012,10309.8,Low risk,Audited
Dubuque CSD,2023,142565488.0,25481734.0,25481734.0,65.23902131208642,0.1054844704070314,10120.3,Low risk,Audited
Dubuque CSD,2024,141615196.0,21314572.0,21314572.0,54.936327454576265,0.1058364386262615,10064.1,Moderate risk,Audited
Dubuque CSD,2025,143254460.0,21167328.0,21167328.0,53.932524823310914,,,Low risk,Audited
Iowa City CSD,2020,173099142.0,6876239.0,6876239.0,14.49936265426434,0.0118346860436777,14285.0,Very high risk,Audited
Iowa City CSD,2021,184984176.0,11653470.0,11653470.0,22.993948141812957,0.0171237673864601,14571.6,Moderate risk,Audited
Iowa City CSD,2022,202187558.0,5356550.0,5356550.0,9.669936020494395,0.001186695177356,14283.8,Very high risk,Audited
Iowa City CSD,2023,207876297.0,4960343.0,4960343.0,8.70962789470894,-0.0120507101394056,14395.0,Very high risk,Audited
Iowa City CSD,2024,198158229.97,14881750.15,14881750.15,27.41162355745885,0.0166746291612527,14439.8,Moderate risk,CAR (audit missing)
Johnston CSD,2020,84937989.0,10518726.0,10518726.0,45.20162338668037,0.1690314683574625,7057.6,Low risk,Audited
Johnston CSD,2021,85982677.0,13781660.0,13781660.0,58.50371348638051,0.2112932468943715,7105.7,Low risk,Audited
Johnston CSD,2022,88285047.0,18556483.0,18556483.0,76.7187255957399,0.2461222227134341,7004.2,Low risk,Audited
Johnston CSD,2023,92841732.0,15556695.0,15556695.0,61.159928328351306,0.2551289004388673,6986.9,Low risk,Audited
Johnston CSD,2024,96950364.0,11860294.0,11860294.0,44.65179016759545,0.2749047852981758,6984.8,High risk,Audited
Johnston CSD,2025,103691498.0,7327867.0,7327867.0,25.79451070327868,,,Moderate risk,Audited
Linn-Mar CSD,2020,87749848.0,9481809.0,9917139.0,41.2508490612998,0.1600071375622211,7556.7,Moderate risk,Audited
Linn-Mar CSD,2021,93635341.0,12795923.0,13220229.0,51.53378557141154,0.1853278026722837,7675.5,Low risk,Audited
Linn-Mar CSD,2022,101160128.0,11416553.0,11881513.0,42.8701735628488,0.1500468741992892,7597.9,Moderate risk,Audited
Linn-Mar CSD,2023,105031915.0,5866836.0,6402633.0,22.25000891395725,0.1104412596875911,7579.3,High risk,Audited
Linn-Mar CSD,2024,104735503.0,5780977.0,6386751.0,22.25763039491967,0.1067208986431277,7685.5,Moderate risk,Audited
Linn-Mar CSD,2025,103555715.0,9278920.0,9853085.0,34.72889955904413,,,Moderate risk,Audited
Muscatine CSD,2020,56564823.0,10644009.0,10704543.0,69.0739931246669,0.205586005281056,4894.0,Low risk,Audited
Muscatine CSD,2021,56650584.0,10294149.0,10370242.0,66.81552179585651,0.2262976141605177,4811.8,Low risk,Audited
Muscatine CSD,2022,57712786.0,10773667.0,10916991.0,69.04365550815724,0.2600382348549245,4690.0,Low risk,Audited
Muscatine CSD,2023,60869319.0,10212841.0,10372152.0,62.19612018330615,0.2512885350335528,4604.5,Low risk,Audited
Muscatine CSD,2024,60904420.0,9974471.0,10133914.0,60.73251514422106,0.2666072675841917,4574.8,Low risk,Audited
Muscatine CSD,2025,61421653.0,8715227.0,8860590.0,52.654319641967305,,,Low risk,Audited
Pleasant Valley CSD,2020,53008239.0,4309175.0,7442527.0,51.24717225561861,0.2141248457621842,5036.7,Low risk,Audited
Pleasant Valley CSD,2021,55962993.0,6920517.0,10083359.0,65.76535381158045,0.2513474038102287,5128.4,Low risk,Audited
Pleasant Valley CSD,2022,61741879.0,7157559.0,10319009.0,61.002974739398525,0.2412601339845844,5244.2,Low risk,Audited
Pleasant Valley CSD,2023,64759789.0,7370920.0,10648418.0,60.01675777541524,0.2509407651096578,5423.6,Low risk,Audited
Pleasant Valley CSD,2024,66728017.0,10195186.0,13544628.0,74.08865784217744,0.2803281116536102,5556.8,Low risk,Audited
Pleasant Valley CSD,2025,69922416.0,11954774.0,15603568.0,81.45173816648442,,,Low risk,Audited
Waterloo CSD,2020,138916971.0,15181795.0,16412787.0,43.12408492552,0.1488047993790477,10776.7,Moderate risk,Audited
Waterloo CSD,2021,142306382.0,26948864.0,28179856.0,72.27818805765156,0.2199631988395292,10865.5,Low risk,Audited
Waterloo CSD,2022,152655437.0,31809926.0,33040918.0,79.00101894176228,0.2448205431425282,10626.6,Low risk,Audited
Waterloo CSD,2023,159641560.0,31718094.0,32949086.0,75.33386913783603,0.2454841270656588,10679.9,Low risk,Audited
Waterloo CSD,2024,169465652.0,8285953.0,9516945.0,20.497870122967456,0.1452925339702466,10672.3,Moderate risk,Audited
Waterloo CSD,2025,173706041.0,-8325333.0,-8325333.0,-17.49361465788055,,,Very high risk,Audited
Waukee CSD,2020,123675598.0,16085853.0,16085853.0,47.47368470375216,0.495755985752339,11197.6,Low risk,Audited
Waukee CSD,2021,132262434.0,13250404.0,17159004.0,47.35310148609545,0.5046979401573692,11701.4,Low risk,Audited
Waukee CSD,2022,144288273.0,11101992.0,15703579.0,39.72468597638562,0.4912913470105779,11994.7,Moderate risk,Audited
