District,Fiscal year,Numerator case,Amount,% of GF expenditures,Approx. days cushion
"Iowa City CSD (FY2023, audited)",2023,GF unassigned only,4960343.0,2.39,8.7
"Iowa City CSD (FY2023, audited)",2023,GF assigned + unassigned,4960343.0,2.39,8.7
"Iowa City CSD (FY2023, audited)",2023,GF total fund balance,10151221.0,4.88,17.8
"Iowa City CSD (FY2023, audited)",2023,GF assigned + unassigned + Management,6125504.41,2.95,10.8
"Iowa City CSD (FY2023, audited)",2023,GF total + Management,11316382.41,5.44,19.9
"Cedar Rapids CSD (FY2023, audited)",2023,GF unassigned only,38324951.0,16.71,61.0
"Cedar Rapids CSD (FY2023, audited)",2023,GF assigned + unassigned,38324951.0,16.71,61.0
"Cedar Rapids CSD (FY2023, audited)",2023,GF total fund balance,42865536.0,18.69,68.2
"Cedar Rapids CSD (FY2023, audited)",2023,GF assigned + unassigned + Management,50353876.76,21.96,80.1
"Cedar Rapids CSD (FY2023, audited)",2023,GF total + Management,54894461.76,23.94,87.4
