District,GF expenditures,GF unassigned / GF exp.,Practical days cushion,GF cash days,Operating result,UAB / GF exp.,Risk class
Waterloo CSD,173706041.0,-0.0479277113914535,-17.49361465788055,271.99911208039106,-0.1357294215682764,0.08156212662822057,Very high risk
College CSD (Prairie),79645682.0,0.0588194096950541,22.04459678052603,258.72102626982337,-0.0520873421707473,0.16470238832641382,Moderate risk
Johnston CSD,103691498.0,0.0706698923377498,25.79451070327868,233.52028225110607,-0.0538126980024374,0.26043055722315167,Moderate risk
Burlington CSD,56049281.0,0.0699712276416177,27.044541659686946,279.4811872787449,-0.0968201708854049,0.39889437825736224,Moderate risk
Linn-Mar CSD,103555715.0,0.0896031667590726,34.72889955904413,178.44883462008832,0.0290689981251049,0.11449729380571685,Moderate risk
West Des Moines CSD,132035909.0,0.1056942168664132,38.57838915624082,209.371860839766,-0.0507050943802175,0.12360476207561805,Moderate risk
Cedar Rapids CSD,240345218.0,0.1280535442148884,46.73954363843428,242.17340702405815,-0.0453119996776712,0.1488772603953446,Low risk
Ankeny CSD,167605001.0,0.1321206638696896,49.14212058624671,208.0812906949,0.0345595090879282,0.1628898374359371,Low risk
Muscatine CSD,61421653.0,0.1418917690150735,52.654319641967305,181.3552815812365,-0.0222766086555006,0.25765361047785773,Low risk
Dubuque CSD,143254460.0,0.1477603419816737,53.932524823310914,272.0270548993728,-0.0062494115468066,0.1246037093020764,Low risk
Waukee CSD,182018327.0,0.1549200427493216,65.44386626518109,277.1847869473056,0.0330307399707573,0.42587422668132846,Low risk
Des Moines Independent CSD,517163529.0,0.2202053946460714,81.39479182028708,217.5122452805445,-0.0998627167343319,0.22153273047364777,Low risk
Pleasant Valley CSD,69922416.0,0.1709719812885184,81.45173816648442,271.9969016802852,0.0246263978785018,0.2959014836570688,Low risk
Davenport CSD,201929149.0,0.2280543409807565,83.23983445797616,144.18511720167749,-0.0249102457450032,0.22832880913587816,Low risk
Iowa City CSD,212847380.0,,,33.09648443875607,,0.02363944061702803,Audit not filed (UAB & board cash only)
