Line,Source,General Fund,Non-Fiduciary Scholarship Funds,Student Activity Fund,Management Levy Fund,Entreprenurial Education Fund,PERL Fund,AEA Sp Ed Inst Fund,AEA JH Inst Fund,Support Trust Fund,Disaster Recovery Fund,Library Levy Fund,SAVE Statewide Sales and Services Tax Fund,PPEL Fund,Other Capital Project Funds,Debt Service Fund,Permanent Funds,Enterprise Funds,Internal Service Funds,Trust Funds,Custodial Funds,Total
,REVENUES FROM LOCAL SERVICES,,,,,,,,,,,,,,,,,,,,,
1,Property Taxes,82197331.74,,,12636872.62,,,,,,,,,12764797.49,,13117700.96,,,,,,120716702.81
2,Income taxes/surtaxes,6775731.49,,,,,,,,,,,,,,,,,,,,6775731.49
3,Penalties and interest on taxes,,,,,,,,,,,,,,,,,,,,,
4,Excise taxes,549152.70,,,86693.01,,,,,,,,,80346.57,,82567.42,,,,,,798759.70
5,Other taxes,132090.67,,,20058.43,,,,,,,,,18607.18,,19121.67,,,,,,189877.95
6,Tuition,3060387.30,,,,,,,,,,,,,,,,,,,,3060387.30
7,Transportation fees,43417.85,,,,,,,,,,,,,,,,,,,,43417.85
8,Earnings on investments,1154691.54,,62.00,,,,,,,,,130251.05,52839.20,,,,217411.88,157829.81,,,1713085.48
9,Food service,,,,,,,,,,,,,,,,,3858293.25,,,,3858293.25
10,Student Activities,552103.53,,1930593.49,,,,,,,,,,,,,,,,,,2482697.02
11,Community Service Activities,,,,,,,,,,,,,,,,,,,,,
12,Rentals,193542.37,,,,,,,,,,,,,,,,,,,,193542.37
13,Contributions & donations from private sources,7224.72,,1171421.90,,,,,,,,,,,,,,,,320389.20,,1499035.82
14,Gains on the sale of capital assets,,,,,,,,,,,,,,,,,,,,,
15,Textbook sales and rentals,,,,,,,,,,,,,,,,,,,,,
16,Miscellaneous revenues from other LEAs/AEAs,5424.88,,,,,,,,,,,,,,,,,,,,5424.88
17,Miscellaneous revenues from sales of services to other local governmental units,347572.69,,,,,,,,,,,,,,,,,,,,347572.69
18,Sale of Service to Other Funds,,,,,,,,,,,,,,,,,,4727949.72,,,4727949.72
19,Refund of Prior Year's Expenditures,1099999.75,,,,,,,,,,,,,,,,,,,,1099999.75
20,Other Local Revenue,1790906.83,,,,,,,,,,,,161345.59,,,,,15665502.49,,,17617754.91
21,TOTAL REVENUE FROM LOCAL SOURCES,97909578.06,,3102077.39,12743624.06,,,,,,,,130251.05,13077936.03,,13219390.05,,4075705.13,20551282.02,320389.20,,165130232.99
22,TOTAL REVENUE FROM INTERMEDIATE SOURCES,9000.00,,,,,,,,,,,,,,,,,,,,9000.00
,REVENUES FROM STATE SOURCES,,,,,,,,,,,,,,,,,,,,,
23,State foundation aid,76061690.00,,,,,,,,,,,,,,,,,,,,76061690.00
24,Instructional support state aid,,,,,,,,,,,,,,,,,,,,,
25,Special Education Deficit Supplemental State Aid,105056.00,,,,,,,,,,,,,,,,,,,,105056.00
26,Teacher Leadership State Aid,5609326.00,,,,,,,,,,,,,,,,,,,,5609326.00
27,Four year old preschool state aid,1643555.00,,,,,,,,,,,,,,,,,,,,1643555.00
28,State Payments in Lieu of Tuition,1780.04,,,,,,,,,,,,,,,,,,,,1780.04
29,SBRC grants in aid,,,,,,,,,,,,,,,,,,,,,
30,State categorical aid and State Aid Funding Supplement,19672824.36,,,,,,,,,,,,,,,,80734.30,,,,19753558.66
31,Military credit,,,,,,,,,,,,,,,,,,,,,
32,SAVE Statewide Sales & Service Tax,,,,,,,,,,,,19018587.19,,,,,,,,,19018587.19
33,Other state revenues in lieu of taxes,931060.00,,,144248.00,,,,,,,,,133688.00,,137383.00,,,,,,1346379.00
34,TOTAL REVENUE FROM STATE SOURCES,104025291.40,,,144248.00,,,,,,,,19018587.19,133688.00,,137383.00,,80734.30,,,,123539931.89
,REVENUES FROM FEDERAL SOURCES,,,,,,,,,,,,,,,,,,,,,
35,This line intentionally left blank,,,,,,,,,,,,,,,,,,,,,
36,Unrestricted direct grants-in-aid,,,,,,,,,,,,,,,,,,,,,
37,Unrestricted indirect grants-in-aid,,,,,,,,,,,,,,,,,,,,,
38,Restricted direct grants-in-aid,,,,,,,,,,,,,,,,,,,,,
39,Restricted indirect grants-in-aid through the state,8526605.23,,,,,,,,,,,,,,,,5356835.06,,,,13883440.29
40,Restricted indirect grants-in-aid through intermediate agencies,698871.00,,,,,,,,,,,,,,,,,,,,698871.00
41,Federal revenues in lieu of taxes,9378.24,,,,,,,,,,,,,,,,,,,,9378.24
42,Federal revenues for/on behalf of the LEA/AEA,,,,,,,,,,,,,,,,,654316.99,,,,654316.99
43,TOTAL REVENUE FROM FEDERAL SOURCES,9234854.47,,,,,,,,,,,,,,,,6011152.05,,,,15246006.52
,OTHER FINANCING SOURCES,,,,,,,,,,,,,,,,,,,,,
44,Issuance of bonds,,,,,,,,,,,,,,,,,,,,,
45,Interfund Transfers In,508955.07,,341425.99,,,,,,,,,,,,13301262.50,,10543.08,,,,14162186.64
46,Proceeds from the disposal of real or personal property (governmental funds),26282.42,,,,,,,,,,,,,,,,,,,,26282.42
47,Proceeds from loans greater than 12 months,,,,,,,,,,,,,,,,,,,,,
